Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  1      1 MPGE-SL  ManEst      1       0          D1B       57.85    560.00       36.27            1
  1      2 MPGE-SL  ManEst      1       1          D2A       53.82    300.00       32.24            1
  1      3 MPGE-SL  ManEst      1       1          D2B       51.81    940.00       30.23            1
  1      4 MPGE-SL  ManEst      1       1          D1B       57.77    545.00       36.19            1
  1      5 MPGE-SL  ManEst      1       1          D2B       55.95   1065.00       34.37            1
  1      6 MPGE-SL  ManEst      1       1          D2A       54.02    380.00       32.45            1
  1      7 MPGE-SL  ManEst      1       2          D2A       54.77    235.00       33.20            1
  1      8 MPGE-SL  ManEst      1       2          D2B       59.96    295.00       38.39            1
  1      9 MPGE-SL  ManEst      1       2          D2A       55.06    390.00       33.49            1
  1     10 MPGE-SL  ManEst      1       2          D1A       54.73    775.00       33.16            1
  1     11 MPGE-SL  ManEst      1       2          D2B       56.60    325.00       35.03            1
  1     12 MPGE-SL  ManEst      1       2          D1A       56.61    710.00       35.03            1
  1     13 MPGE-SL  ManEst      1       2          D2B       56.89    635.00       35.32            1
  1     14 MPGE-SL  ManEst      1       2          D1B       56.59    320.00       35.02            1
  1     15 MPGE-SL  ManEst      1       2          D2A       61.25    705.00       39.67            1
  1     16 MPGE-SL  ManEst      1       2          D1A       60.61    315.00       39.04            1
  1     17 MPGE-SL  ManEst      1       3          D2A       58.76    545.00       37.19            1
  1     18 MPGE-SL  ManEst      1       4          D1B       58.50    295.00       36.92            1
  1     19 MPGE-SL  ManEst      1       4          D1A       56.93    500.00       35.35            1
  1     20 MPGE-SL  ManEst      1       4          D1B       52.63    365.00       31.05            1
  1     21 MPGE-SL  ManEst      1       4          D2B       57.29    335.00       35.71            1
  1     22 MPGE-SL  ManEst      1       4          D2B       57.50    490.00       35.92            1
  1     23 MPGE-SL  ManEst      1       4          D2A       62.28    435.00       40.71            1
  1     24 MPGE-SL  ManEst      1       4          D1A       63.36    480.00       41.78            1
  1     25 MPGE-SL  ManEst      1       4          D2B       59.00    420.00       37.43            1
  1     26 MPGE-SL  ManEst      1       4          D1A       62.96    410.00       41.39            1
  1     27 MPGE-SL  ManEst      1       4          D2A       56.47    345.00       34.90            1
  1     28 MPGE-SL  ManEst      1       4          D1A       52.21    390.00       30.64            1
  1     29 MPGE-SL  ManEst      1       4          D1B       63.14    730.00       41.57            1
  1     30 MPGE-SL  ManEst      1       4          D1B       56.22    405.00       34.64            1
  1     31 MPGE-SL  ManEst      1       4          D1B       55.87    360.00       34.29            1
  1     32 MPGE-SL  ManEst      1       5          D1A       57.54    340.00       35.96            1
  1     33 MPGE-SL  ManEst      2       6          D1B       51.35    330.00       29.54            1
  1     34 MPGE-SL  ManEst      2       6          D2B       50.88    480.00       29.08            1
  1     35 MPGE-SL  ManEst      2       6          D2A       52.36    330.00       30.56            1
  1     36 MPGE-SL  ManEst      2       6          D1A       49.48    290.00       27.68            1
  1     37 MPGE-SL  ManEst      2       6          D1B       51.49    370.00       29.69            1
  1     38 MPGE-SL  ManEst      2       6          D2A       58.25    345.00       36.45            1
  1     39 MPGE-SL  ManEst      2       6          D2A       64.22    410.00       42.42            1
  1     40 MPGE-SL  ManEst      2       6          D2A       54.75    315.00       32.95            1
  1     41 MPGE-SL  ManEst      2       6          D2B       63.62    370.00       41.82            1
  1     42 MPGE-SL  ManEst      2       6          D2B       62.47    330.00       40.67            1
  1     43 MPGE-SL  ManEst      2       6          D1B       55.66    655.00       33.85            1
  1     44 MPGE-SL  ManEst      2       6          D2A       51.99    395.00       30.19            1
  1     45 MPGE-SL  ManEst      2       6          D1A       55.46    575.00       33.66            1
  1     46 MPGE-SL  ManEst      2       6          D2A       57.37    505.00       35.57            1
  1     47 MPGE-SL  ManEst      2       6          D1A       60.05    225.00       38.24            1
  1     48 MPGE-SL  ManEst      2       6          D2B       57.51    410.00       35.70            1
  1     49 MPGE-SL  ManEst      2       6          D1A       61.35    280.00       39.55            1
  1     50 MPGE-SL  ManEst      2       6          D1B       57.72    425.00       35.92            1
  1     51 MPGE-SL  ManEst      2       6          D2B       52.45    385.00       30.65            1
  1     52 MPGE-SL  ManEst      2       6          D2A       52.88    315.00       31.08            1
  1     53 MPGE-SL  ManEst      2       7          D1A       55.77    240.00       33.97            1
  1     54 MPGE-SL  ManEst      2       7          D2B       56.64    430.00       34.84            1
  1     55 MPGE-SL  ManEst      2       7          D2B       58.97    550.00       37.16            1
  1     56 MPGE-SL  ManEst      2       7          D2A       56.00    320.00       34.20            1
  1     57 MPGE-SL  ManEst      2       7          D1B       55.33    305.00       33.53            1
  1     58 MPGE-SL  ManEst      2       7          D1A       56.58    330.00       34.77            1
  1     59 MPGE-SL  ManEst      2       7          D2B       66.35    395.00       44.55            1
  1     60 MPGE-SL  ManEst      2       7          D1B       53.25    385.00       31.44            1
  1     61 MPGE-SL  ManEst      2       7          D1A       52.56    425.00       30.76            1
  1     62 MPGE-SL  ManEst      2       7          D1A       54.84    370.00       33.04            1
  1     63 MPGE-SL  ManEst      2       7          D1B       55.58    300.00       33.78            1
  1     64 MPGE-SL  ManEst      2       7          D1B       57.03    405.00       35.23            1
  1     65 MPGE-SL  ManEst      3       7          D2B       57.30    510.00       34.93            1
  1     66 MPGE-SL  ManEst      3       7          D2B       56.74    465.00       34.38            1
  1     67 MPGE-SL  ManEst      3       7          D1A       54.52    620.00       32.15            1
  1     68 MPGE-SL  ManEst      3       7          D1B       57.97    355.00       35.60            1
  1     69 MPGE-SL  ManEst      3       8          D1B       54.47    325.00       32.10            1
  1     70 MPGE-SL  ManEst      3       8          D2A       53.53    650.00       31.16            1
  1     71 MPGE-SL  ManEst      3       8          D1A       55.48    345.00       33.12            1
  1     72 MPGE-SL  ManEst      3       9          D2B       55.18    305.00       32.82            1
  1     73 MPGE-SL  ManEst      3       9          D2A       55.81    305.00       33.45            1
  1     74 MPGE-SL  ManEst      3       9          D2A       56.22    605.00       33.85            1
  1     75 MPGE-SL  ManEst      3       9          D2A       55.63    365.00       33.26            1
  1     76 MPGE-SL  ManEst      3       9          D2B       55.80    405.00       33.43            1
  1     77 MPGE-SL  ManEst      3       9          D2A       60.32    370.00       37.96            1
  1     78 MPGE-SL  ManEst      3      10          D1A       56.35    385.00       33.98            1
  1     79 MPGE-SL  ManEst      3      10          D2B       56.37    375.00       34.00            1
  1     80 MPGE-SL  ManEst      3      10          D2B       55.43    375.00       33.06            1
  1     81 MPGE-SL  ManEst      3      10          D1B       55.68    270.00       33.31            1
  1     82 MPGE-SL  ManEst      3      10          D1B       53.51    295.00       31.15            1
  1     83 MPGE-SL  ManEst      3      10          D2A       55.11    480.00       32.74            1
  1     84 MPGE-SL  ManEst      3      10          D2B       56.12    375.00       33.75            1
  1     85 MPGE-SL  ManEst      3      10          D1A       53.63    455.00       31.26            1
  1     86 MPGE-SL  ManEst      3      10          D1A       57.81    355.00       35.45            1
  1     87 MPGE-SL  ManEst      3      10          D2B       58.10    330.00       35.73            1
  1     88 MPGE-SL  ManEst      3      10          D2A       55.70    395.00       33.33            1
  1     89 MPGE-SL  ManEst      3      10          D2A       53.09    290.00       30.72            1
  1     90 MPGE-SL  ManEst      3      10          D1A       51.21    370.00       28.85            1
  1     91 MPGE-SL  ManEst      3      10          D1B       54.34    405.00       31.97            1
  1     92 MPGE-SL  ManEst      3      10          D1A       51.22    395.00       28.85            1
  1     93 MPGE-SL  ManEst      3      10          D1B       52.90    395.00       30.53            1
  1     94 MPGE-SL  ManEst      3      10          D1B       55.31    605.00       32.94            1
  1     95 MPGE-SL  ManEst      3      10          D1B       59.76    350.00       37.40            1
  1     96 MPGE-SL  ManEst      3      10          D1A       56.24    280.00       33.88            1
  1     97 MPGE-SL  ManEst      4      13          D1B       59.90    510.00       37.14            1
  1     98 MPGE-SL  ManEst      4      13          D2A       58.61    400.00       35.86            1
  1     99 MPGE-SL  ManEst      4      13          D2B       61.61    445.00       38.85            1
  1    100 MPGE-SL  ManEst      4      13          D2B       58.55    320.00       35.80            1
  1    101 MPGE-SL  ManEst      4      13          D1B       59.78    435.00       37.02            1
  1    102 MPGE-SL  ManEst      4      13          D2A       58.13    285.00       35.38            1
  1    103 MPGE-SL  ManEst      4      13          D2B       60.12    310.00       37.37            1
  1    104 MPGE-SL  ManEst      4      13          D1B       57.04    260.00       34.29            1
  1    105 MPGE-SL  ManEst      4      13          D1A       60.48    310.00       37.73            1
  1    106 MPGE-SL  ManEst      4      13          D2A       57.60    320.00       34.85            1
  1    107 MPGE-SL  ManEst      4      13          D1A       54.15    270.00       31.40            1
  1    108 MPGE-SL  ManEst      4      13          D1A       49.20    480.00       26.45            1
  1    109 MPGE-SL  ManEst      4      14          D1A       52.94    300.00       30.19            1
  1    110 MPGE-SL  ManEst      4      15          D1B       51.83    405.00       29.08            1
  1    111 MPGE-SL  ManEst      4      15          D2A       55.17    345.00       32.42            1
  1    112 MPGE-SL  ManEst      4      15          D1B       55.14    295.00       32.39            1
  1    113 MPGE-SL  ManEst      4      15          D2B       53.68    400.00       30.93            1
  1    114 MPGE-SL  ManEst      4      16          D2B       57.80    330.00       35.05            1
  1    115 MPGE-SL  ManEst      4      16          D2A       56.88    320.00       34.13            1
  1    116 MPGE-SL  ManEst      4      16          D2A       55.73    600.00       32.97            1
  1    117 MPGE-SL  ManEst      4      16          D2A       58.00    295.00       35.25            1
  1    118 MPGE-SL  ManEst      4      16          D1A       56.33    300.00       33.58            1
