Sub  Trial   Group    Task  Block  Errors      Stimuli  Subtask       RT     Button  T/F
  1      1  PMG-SL    Perc      1       0  R:D1B-L:D2B        S   702.56  SubjRight    C
  1      2  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   859.01  SubjRight    C
  1      3  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   853.77  SubjRight    C
  1      4  PMG-SL    Perc      1       0  R:D1B-L:D2A        S  1201.93  SubjRight    C
  1      5  PMG-SL    Perc      1       0  R:D1B-L:D2B        S  1008.90  SubjRight    C
  1      6  PMG-SL    Perc      1       0  R:D2A-L:D1A        S   859.99   SubjLeft    C
  1      7  PMG-SL    Perc      1       0  R:D2B-L:D1A        S   898.18   SubjLeft    C
  1      8  PMG-SL    Perc      1       0  R:D2B-L:D1B        S   931.82  SubjRight    F
  1      9  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   925.63   SubjLeft    C
  1     10  PMG-SL    Perc      1       0  R:D2B-L:D1B        S  1352.83  SubjRight    F
  1     11  PMG-SL    Perc      1       0  R:D2B-L:D1A        S   957.57  SubjRight    F
  1     12  PMG-SL    Perc      1       0  R:D1A-L:D2A        S   792.54  SubjRight    C
  1     13  PMG-SL    Perc      1       0  R:D2A-L:D1A        S   987.24   SubjLeft    C
  1     14  PMG-SL    Perc      1       0  R:D2B-L:D1B        S  1275.00  SubjRight    F
  1     15  PMG-SL    Perc      1       0  R:D2B-L:D1A        S  1071.39  SubjRight    F
  1     16  PMG-SL    Perc      1       0  R:D1B-L:D2B        S  1079.97   SubjLeft    F
  1     17  PMG-SL    Perc      1       0  R:D2B-L:D1A        S  1022.97  SubjRight    F
  1     18  PMG-SL    Perc      1       0  R:D1A-L:D2B        S   897.23  SubjRight    C
  1     19  PMG-SL    Perc      1       0  R:D2A-L:D1A        S   921.73   SubjLeft    C
  1     20  PMG-SL    Perc      1       0  R:D1B-L:D2B        S  1427.90  SubjRight    C
  1     21  PMG-SL    Perc      1       0  R:D1B-L:D2A        S  1117.44   SubjLeft    F
  1     22  PMG-SL    Perc      1       0  R:D2A-L:D1A        S  1050.05   SubjLeft    C
  1     23  PMG-SL    Perc      1       0  R:D1A-L:D2A        S  1028.07  SubjRight    C
  1     24  PMG-SL    Perc      1       0  R:D1A-L:D2A        S   791.96  SubjRight    C
  1     25  PMG-SL    Perc      1       0  R:D1A-L:D2B        S  1113.14  SubjRight    C
  1     26  PMG-SL    Perc      1       0  R:D1A-L:D2A        S  1116.13  SubjRight    C
  1     27  PMG-SL    Perc      1       0  R:D1A-L:D2B        S  1158.67  SubjRight    C
  1     28  PMG-SL    Perc      1       0  R:D1A-L:D2B        S  1031.38  SubjRight    C
  1     29  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   862.72   SubjLeft    C
  1     30  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   948.24   SubjLeft    C
  1     31  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   776.68   SubjLeft    C
  1     32  PMG-SL    Perc      1       0  R:D2B-L:D1B        S   922.62   SubjLeft    C
  1     33  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   886.28  SubjRight    F
  1     34  PMG-SL    Perc      2       0  R:D1B-L:D2A        S   768.13  SubjRight    C
  1     35  PMG-SL    Perc      2       0  R:D1B-L:D2B        S   759.78  SubjRight    C
  1     36  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   765.31  SubjRight    F
  1     37  PMG-SL    Perc      2       0  R:D1A-L:D2B        S  1012.25  SubjRight    C
  1     38  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   844.78  SubjRight    F
  1     39  PMG-SL    Perc      2       0  R:D1A-L:D2A        S   868.99  SubjRight    C
  1     40  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   892.26   SubjLeft    C
  1     41  PMG-SL    Perc      2       0  R:D2A-L:D1A        S   909.66   SubjLeft    C
  1     42  PMG-SL    Perc      2       0  R:D1A-L:D2B        S  1078.24   SubjLeft    F
  1     43  PMG-SL    Perc      2       0  R:D1B-L:D2B        S  1315.83   SubjLeft    F
  1     44  PMG-SL    Perc      2       0  R:D1A-L:D2A        S  1191.52   SubjLeft    F
  1     45  PMG-SL    Perc      2       0  R:D2A-L:D1A        S  1592.96   SubjLeft    C
  1     46  PMG-SL    Perc      2       0  R:D1A-L:D2B        S  1311.62  SubjRight    C
  1     47  PMG-SL    Perc      2       0  R:D2B-L:D1A        S  1127.57  SubjRight    F
  1     48  PMG-SL    Perc      2       0  R:D2A-L:D1B        S  1172.35  SubjRight    F
  1     49  PMG-SL    Perc      2       0  R:D1B-L:D2A        S  1634.26  SubjRight    C
  1     50  PMG-SL    Perc      2       0  R:D1B-L:D2B        S  1273.73  SubjRight    C
  1     51  PMG-SL    Perc      2       0  R:D1A-L:D2B        S  1004.33  SubjRight    C
  1     52  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   911.37  SubjRight    F
  1     53  PMG-SL    Perc      2       0  R:D2B-L:D1B        S  1170.23   SubjLeft    C
  1     54  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   779.50   SubjLeft    C
  1     55  PMG-SL    Perc      2       0  R:D2A-L:D1A        S  1156.38   SubjLeft    C
  1     56  PMG-SL    Perc      2       0  R:D2A-L:D1A        S  1203.30   SubjLeft    C
  1     57  PMG-SL    Perc      2       0  R:D2B-L:D1A        S  1465.86   SubjLeft    C
  1     58  PMG-SL    Perc      2       0  R:D1B-L:D2B        S   960.56  SubjRight    C
  1     59  PMG-SL    Perc      2       0  R:D2B-L:D1B        S  1545.48   SubjLeft    C
  1     60  PMG-SL    Perc      2       0  R:D1B-L:D2A        S   857.67  SubjRight    C
  1     61  PMG-SL    Perc      2       0  R:D1B-L:D2A        S  1061.62  SubjRight    C
  1     62  PMG-SL    Perc      2       0  R:D1A-L:D2A        S  1280.45  SubjRight    C
  1     63  PMG-SL    Perc      2       0  R:D1A-L:D2A        S   815.82  SubjRight    C
  1     64  PMG-SL    Perc      2       0  R:D2A-L:D1B        S  1253.86   SubjLeft    C
  1     65  PMG-SL    Perc      1       0  R:D1B-L:D2B        L   920.54   SubjLeft    C
  1     66  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   929.97  SubjRight    F
  1     67  PMG-SL    Perc      1       0  R:D1B-L:D2B        L  1139.94  SubjRight    F
  1     68  PMG-SL    Perc      1       0  R:D2B-L:D1B        L  1042.24  SubjRight    C
  1     69  PMG-SL    Perc      1       0  R:D2B-L:D1A        L  1184.66  SubjRight    C
  1     70  PMG-SL    Perc      1       0  R:D1B-L:D2A        L  1817.55   SubjLeft    C
  1     71  PMG-SL    Perc      1       0  R:D2B-L:D1A        L  1005.83  SubjRight    C
  1     72  PMG-SL    Perc      1       0  R:D2A-L:D1A        L   976.05  SubjRight    C
  1     73  PMG-SL    Perc      1       0  R:D1A-L:D2B        L  1275.52   SubjLeft    C
  1     74  PMG-SL    Perc      1       0  R:D1A-L:D2B        L  1043.10   SubjLeft    C
  1     75  PMG-SL    Perc      1       0  R:D2B-L:D1B        L  1051.85   SubjLeft    F
  1     76  PMG-SL    Perc      1       0  R:D2B-L:D1B        L  1587.67   SubjLeft    F
  1     77  PMG-SL    Perc      1       0  R:D2A-L:D1A        L  1165.23   SubjLeft    F
  1     78  PMG-SL    Perc      1       0  R:D2A-L:D1B        L  1358.81   SubjLeft    F
  1     79  PMG-SL    Perc      1       0  R:D1A-L:D2A        L  1044.29   SubjLeft    C
  1     80  PMG-SL    Perc      1       0  R:D1B-L:D2A        L  1464.64   SubjLeft    C
  1     81  PMG-SL    Perc      1       0  R:D1A-L:D2A        L  1471.89   SubjLeft    C
  1     82  PMG-SL    Perc      1       0  R:D2A-L:D1B        L  1047.48  SubjRight    C
  1     83  PMG-SL    Perc      1       0  R:D2B-L:D1A        L  1092.37  SubjRight    C
  1     84  PMG-SL    Perc      1       0  R:D2A-L:D1A        L  1174.43  SubjRight    C
  1     85  PMG-SL    Perc      1       0  R:D1B-L:D2B        L  1303.47   SubjLeft    C
  1     86  PMG-SL    Perc      1       0  R:D2A-L:D1B        L  1334.13  SubjRight    C
  1     87  PMG-SL    Perc      1       0  R:D1A-L:D2A        L  1550.10   SubjLeft    C
  1     88  PMG-SL    Perc      1       0  R:D2B-L:D1B        L  1271.22   SubjLeft    F
  1     89  PMG-SL    Perc      1       0  R:D1B-L:D2B        L  1514.83   SubjLeft    C
  1     90  PMG-SL    Perc      1       0  R:D1A-L:D2B        L  1443.13  SubjRight    F
  1     91  PMG-SL    Perc      1       0  R:D2B-L:D1A        L  1254.84  SubjRight    C
  1     92  PMG-SL    Perc      1       0  R:D1A-L:D2B        L  1296.93  SubjRight    F
  1     93  PMG-SL    Perc      1       0  R:D2A-L:D1B        L  1549.61  SubjRight    C
  1     94  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   911.49   SubjLeft    C
  1     95  PMG-SL    Perc      1       0  R:D1A-L:D2A        L  1372.62   SubjLeft    C
  1     96  PMG-SL    Perc      1       0  R:D2A-L:D1A        L  2282.93   SubjLeft    F
  1     97  PMG-SL    Perc      2       0  R:D1A-L:D2B        L   801.96   SubjLeft    C
  1     98  PMG-SL    Perc      2       0  R:D1B-L:D2A        L   859.27   SubjLeft    C
  1     99  PMG-SL    Perc      2       0  R:D1B-L:D2B        L  1208.38   SubjLeft    C
  1    100  PMG-SL    Perc      2       0  R:D1B-L:D2B        L  1234.86   SubjLeft    C
  1    101  PMG-SL    Perc      2       0  R:D2B-L:D1B        L  1956.49   SubjLeft    F
  1    102  PMG-SL    Perc      2       1  R:D2A-L:D1B        L  1832.56   SubjLeft    F
  1    103  PMG-SL    Perc      2       1  R:D2A-L:D1A        L   986.65  SubjRight    C
  1    104  PMG-SL    Perc      2       1  R:D2A-L:D1B        L  1572.21  SubjRight    C
  1    105  PMG-SL    Perc      2       1  R:D2B-L:D1B        L  1761.66  SubjRight    C
  1    106  PMG-SL    Perc      2       1  R:D1A-L:D2A        L  1741.04   SubjLeft    C
  1    107  PMG-SL    Perc      2       1  R:D1B-L:D2A        L  2340.56   SubjLeft    C
  1    108  PMG-SL    Perc      2       1  R:D1B-L:D2A        L  1948.30  SubjRight    F
  1    109  PMG-SL    Perc      2       1  R:D2A-L:D1A        L  2637.83  SubjRight    C
  1    110  PMG-SL    Perc      2       1  R:D1A-L:D2A        L  1383.20  SubjRight    F
  1    111  PMG-SL    Perc      2       1  R:D2A-L:D1B        L  2021.77  SubjRight    C
  1    112  PMG-SL    Perc      2       1  R:D2B-L:D1A        L  1640.66  SubjRight    C
  1    113  PMG-SL    Perc      2       1  R:D2B-L:D1A        L  2584.65   SubjLeft    F
  1    114  PMG-SL    Perc      2       1  R:D2B-L:D1B        L  2099.10  SubjRight    C
  1    115  PMG-SL    Perc      2       1  R:D1B-L:D2B        L  2201.19   SubjLeft    C
  1    116  PMG-SL    Perc      2       1  R:D1A-L:D2B        L  2171.99  SubjRight    F
  1    117  PMG-SL    Perc      2       1  R:D1A-L:D2B        L  2025.29   SubjLeft    C
  1    118  PMG-SL    Perc      2       1  R:D1A-L:D2A        L  1388.13   SubjLeft    C
  1    119  PMG-SL    Perc      2       1  R:D2A-L:D1B        L  2187.00   SubjLeft    F
  1    120  PMG-SL    Perc      2       1  R:D2A-L:D1A        L  1938.17  SubjRight    C
  1    121  PMG-SL    Perc      2       1  R:D2A-L:D1A        L  2189.80  SubjRight    C
  1    122  PMG-SL    Perc      2       1  R:D2B-L:D1A        L  2355.07   SubjLeft    F
  1    123  PMG-SL    Perc      2       1  R:D1B-L:D2B        L  1595.08   SubjLeft    C
  1    124  PMG-SL    Perc      2       1  R:D1B-L:D2A        L  1782.23   SubjLeft    C
  1    125  PMG-SL    Perc      2       1  R:D2B-L:D1B        L  2249.38  SubjRight    C
  1    126  PMG-SL    Perc      2       1  R:D1A-L:D2B        L  2490.16   SubjLeft    C
  1    127  PMG-SL    Perc      2       1  R:D1A-L:D2A        L  1663.01  SubjRight    F
  1    128  PMG-SL    Perc      2       1  R:D2B-L:D1A        L  2470.74   SubjLeft    F
  2      1  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   662.34   SubjLeft    C
  2      2  PMG-SL    Perc      1       0  R:D2B-L:D1B        S   668.93  SubjRight    F
  2      3  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   853.39  SubjRight    C
  2      4  PMG-SL    Perc      1       0  R:D1A-L:D2B        S   737.88  SubjRight    C
  2      5  PMG-SL    Perc      1       0  R:D2A-L:D1A        S   651.52   SubjLeft    C
  2      6  PMG-SL    Perc      1       0  R:D1B-L:D2B        S   718.18  SubjRight    C
  2      7  PMG-SL    Perc      1       0  R:D2B-L:D1A        S   635.01   SubjLeft    C
  2      8  PMG-SL    Perc      1       0  R:D1B-L:D2B        S   672.57  SubjRight    C
  2      9  PMG-SL    Perc      1       0  R:D2A-L:D1B        S   662.85  SubjRight    F
  2     10  PMG-SL    Perc      1       0  R:D2B-L:D1B        S  1081.70   SubjLeft    C
  2     11  PMG-SL    Perc      1       0  R:D2B-L:D1A        S  1212.78   SubjLeft    C
  2     12  PMG-SL    Perc      1       0  R:D2A-L:D1A        S  1057.57   SubjLeft    C
  2     13  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   954.84  SubjRight    C
  2     14  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   910.02  SubjRight    C
  2     15  PMG-SL    Perc      1       0  R:D1B-L:D2B        S  1161.69  SubjRight    C
  2     16  PMG-SL    Perc      1       0  R:D2A-L:D1B        S  1011.76   SubjLeft    C
  2     17  PMG-SL    Perc      1       0  R:D1B-L:D2A        S   828.59  SubjRight    C
  2     18  PMG-SL    Perc      1       0  R:D2B-L:D1B        S   982.83   SubjLeft    C
  2     19  PMG-SL    Perc      1       0  R:D1A-L:D2A        S  1134.41   SubjLeft    F
  2     20  PMG-SL    Perc      1       0  R:D2B-L:D1A        S  1167.89   SubjLeft    C
  2     21  PMG-SL    Perc      1       0  R:D2A-L:D1B        S  1749.44   SubjLeft    C
  2     22  PMG-SL    Perc      1       0  R:D2A-L:D1A        S  1580.70   SubjLeft    C
  2     23  PMG-SL    Perc      1       0  R:D2B-L:D1B        S  2009.83   SubjLeft    C
  2     24  PMG-SL    Perc      1       0  R:D1A-L:D2A        S   941.38  SubjRight    C
  2     25  PMG-SL    Perc      1       0  R:D2B-L:D1A        S  1187.58  SubjRight    F
  2     26  PMG-SL    Perc      1       0  R:D1A-L:D2A        S  1004.75  SubjRight    C
  2     27  PMG-SL    Perc      1       0  R:D1A-L:D2A        S  1117.43  SubjRight    C
  2     28  PMG-SL    Perc      1       0  R:D1A-L:D2B        S   937.70   SubjLeft    F
  2     29  PMG-SL    Perc      1       0  R:D1A-L:D2B        S  1090.35  SubjRight    C
  2     30  PMG-SL    Perc      1       0  R:D1A-L:D2B        S  1226.04  SubjRight    C
  2     31  PMG-SL    Perc      1       0  R:D1B-L:D2B        S  1163.23   SubjLeft    F
  2     32  PMG-SL    Perc      1       0  R:D2A-L:D1A        S  1051.41   SubjLeft    C
  2     33  PMG-SL    Perc      2       0  R:D1B-L:D2A        S  1089.13  SubjRight    C
  2     34  PMG-SL    Perc      2       0  R:D2A-L:D1A        S   770.84   SubjLeft    C
  2     35  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   822.32   SubjLeft    C
  2     36  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   884.61   SubjLeft    C
  2     37  PMG-SL    Perc      2       0  R:D1B-L:D2B        S   921.10  SubjRight    C
  2     38  PMG-SL    Perc      2       0  R:D2A-L:D1A        S   811.42   SubjLeft    C
  2     39  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   797.86   SubjLeft    C
  2     40  PMG-SL    Perc      2       0  R:D2B-L:D1A        S   943.30   SubjLeft    C
  2     41  PMG-SL    Perc      2       0  R:D1A-L:D2A        S   806.50  SubjRight    C
  2     42  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   917.62   SubjLeft    C
  2     43  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   788.30   SubjLeft    C
  2     44  PMG-SL    Perc      2       0  R:D1A-L:D2B        S   942.55  SubjRight    C
  2     45  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   789.41   SubjLeft    C
  2     46  PMG-SL    Perc      2       0  R:D1A-L:D2A        S  1184.22   SubjLeft    F
  2     47  PMG-SL    Perc      2       0  R:D1A-L:D2B        S  1050.21  SubjRight    C
  2     48  PMG-SL    Perc      2       0  R:D1B-L:D2A        S   775.12  SubjRight    C
  2     49  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   825.48   SubjLeft    C
  2     50  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   819.14   SubjLeft    C
  2     51  PMG-SL    Perc      2       0  R:D2A-L:D1B        S   787.04   SubjLeft    C
  2     52  PMG-SL    Perc      2       0  R:D1B-L:D2A        S   746.97  SubjRight    C
  2     53  PMG-SL    Perc      2       0  R:D1B-L:D2B        S   914.72  SubjRight    C
  2     54  PMG-SL    Perc      2       0  R:D1B-L:D2A        S   711.91  SubjRight    C
  2     55  PMG-SL    Perc      2       0  R:D1A-L:D2B        S   839.57  SubjRight    C
  2     56  PMG-SL    Perc      2       0  R:D1A-L:D2A        S   862.33  SubjRight    C
  2     57  PMG-SL    Perc      2       0  R:D1A-L:D2B        S   862.75  SubjRight    C
  2     58  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   951.72   SubjLeft    C
  2     59  PMG-SL    Perc      2       0  R:D1B-L:D2B        S   785.18  SubjRight    C
  2     60  PMG-SL    Perc      2       0  R:D2A-L:D1A        S   784.36  SubjRight    F
  2     61  PMG-SL    Perc      2       0  R:D1B-L:D2B        S  1155.03  SubjRight    C
  2     62  PMG-SL    Perc      2       0  R:D2B-L:D1B        S   775.20   SubjLeft    C
  2     63  PMG-SL    Perc      2       0  R:D1A-L:D2A        S  1002.66  SubjRight    C
  2     64  PMG-SL    Perc      2       0  R:D2A-L:D1A        S   643.92   SubjLeft    C
  2     65  PMG-SL    Perc      1       0  R:D2A-L:D1A        L   801.19  SubjRight    C
  2     66  PMG-SL    Perc      1       0  R:D2B-L:D1B        L   597.84  SubjRight    C
  2     67  PMG-SL    Perc      1       0  R:D1A-L:D2A        L   792.16   SubjLeft    C
  2     68  PMG-SL    Perc      1       0  R:D2B-L:D1A        L   806.94  SubjRight    C
  2     69  PMG-SL    Perc      1       0  R:D1A-L:D2A        L   775.37   SubjLeft    C
  2     70  PMG-SL    Perc      1       0  R:D2A-L:D1B        L   698.81   SubjLeft    F
  2     71  PMG-SL    Perc      1       0  R:D1A-L:D2B        L   631.44  SubjRight    F
  2     72  PMG-SL    Perc      1       0  R:D2A-L:D1A        L   778.83  SubjRight    C
  2     73  PMG-SL    Perc      1       0  R:D1B-L:D2B        L   865.54   SubjLeft    C
  2     74  PMG-SL    Perc      1       0  R:D1B-L:D2B        L   852.30   SubjLeft    C
  2     75  PMG-SL    Perc      1       0  R:D2B-L:D1A        L   763.89  SubjRight    C
  2     76  PMG-SL    Perc      1       0  R:D2B-L:D1B        L   986.88  SubjRight    C
  2     77  PMG-SL    Perc      1       0  R:D2B-L:D1B        L   752.01   SubjLeft    F
  2     78  PMG-SL    Perc      1       0  R:D2A-L:D1A        L  1192.85  SubjRight    C
  2     79  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   993.74   SubjLeft    C
  2     80  PMG-SL    Perc      1       0  R:D2A-L:D1B        L   719.80  SubjRight    C
  2     81  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   793.01   SubjLeft    C
  2     82  PMG-SL    Perc      1       0  R:D2A-L:D1A        L   611.14  SubjRight    C
  2     83  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   652.62   SubjLeft    C
  2     84  PMG-SL    Perc      1       0  R:D1A-L:D2B        L   883.97   SubjLeft    C
  2     85  PMG-SL    Perc      1       0  R:D1B-L:D2A        L   770.99   SubjLeft    C
  2     86  PMG-SL    Perc      1       0  R:D1A-L:D2A        L  1034.92   SubjLeft    C
  2     87  PMG-SL    Perc      1       0  R:D2A-L:D1B        L   815.59  SubjRight    C
  2     88  PMG-SL    Perc      1       0  R:D1A-L:D2B        L   797.11   SubjLeft    C
  2     89  PMG-SL    Perc      1       0  R:D2A-L:D1B        L   853.89  SubjRight    C
  2     90  PMG-SL    Perc      1       0  R:D1B-L:D2B        L   864.85   SubjLeft    C
  2     91  PMG-SL    Perc      1       0  R:D1A-L:D2A        L   722.46   SubjLeft    C
  2     92  PMG-SL    Perc      1       0  R:D2B-L:D1A        L   834.96  SubjRight    C
  2     93  PMG-SL    Perc      1       0  R:D2B-L:D1A        L   788.64   SubjLeft    F
  2     94  PMG-SL    Perc      1       0  R:D1B-L:D2B        L   825.45   SubjLeft    C
  2     95  PMG-SL    Perc      1       0  R:D2B-L:D1B        L   936.46   SubjLeft    F
  2     96  PMG-SL    Perc      1       0  R:D1A-L:D2B        L   730.13   SubjLeft    C
  2     97  PMG-SL    Perc      2       0  R:D1B-L:D2A        L   977.76   SubjLeft    C
  2     98  PMG-SL    Perc      2       0  R:D1B-L:D2A        L   585.43   SubjLeft    C
  2     99  PMG-SL    Perc      2       0  R:D2B-L:D1B        L  1120.76   SubjLeft    F
  2    100  PMG-SL    Perc      2       0  R:D2B-L:D1A        L   689.66  SubjRight    C
  2    101  PMG-SL    Perc      2       0  R:D1B-L:D2B        L   886.51   SubjLeft    C
  2    102  PMG-SL    Perc      2       0  R:D2A-L:D1A        L  1019.09  SubjRight    C
  2    103  PMG-SL    Perc      2       0  R:D2A-L:D1B        L   824.01  SubjRight    C
  2    104  PMG-SL    Perc      2       0  R:D1B-L:D2A        L   687.27   SubjLeft    C
  2    105  PMG-SL    Perc      2       0  R:D1A-L:D2A        L   900.76   SubjLeft    C
  2    106  PMG-SL    Perc      2       0  R:D1A-L:D2B        L   721.10   SubjLeft    C
  2    107  PMG-SL    Perc      2       0  R:D2B-L:D1A        L   837.52   SubjLeft    F
  2    108  PMG-SL    Perc      2       0  R:D2A-L:D1B        L  1104.44   SubjLeft    F
  2    109  PMG-SL    Perc      2       0  R:D1A-L:D2A        L   843.64   SubjLeft    C
  2    110  PMG-SL    Perc      2       0  R:D1A-L:D2A        L  1022.80   SubjLeft    C
  2    111  PMG-SL    Perc      2       0  R:D1B-L:D2B        L   923.99   SubjLeft    C
  2    112  PMG-SL    Perc      2       0  R:D2B-L:D1B        L   963.65   SubjLeft    F
  2    113  PMG-SL    Perc      2       0  R:D2A-L:D1A        L   802.70  SubjRight    C
  2    114  PMG-SL    Perc      2       0  R:D2B-L:D1A        L   788.75   SubjLeft    F
  2    115  PMG-SL    Perc      2       0  R:D2A-L:D1B        L   986.04  SubjRight    C
  2    116  PMG-SL    Perc      2       0  R:D2A-L:D1B        L   785.50   SubjLeft    F
  2    117  PMG-SL    Perc      2       0  R:D1A-L:D2A        L   905.16   SubjLeft    C
  2    118  PMG-SL    Perc      2       0  R:D1B-L:D2A        L   764.85   SubjLeft    C
  2    119  PMG-SL    Perc      2       0  R:D2B-L:D1A        L   814.06   SubjLeft    F
  2    120  PMG-SL    Perc      2       0  R:D1B-L:D2B        L   880.84   SubjLeft    C
  2    121  PMG-SL    Perc      2       0  R:D1B-L:D2B        L   709.58   SubjLeft    C
  2    122  PMG-SL    Perc      2       0  R:D2B-L:D1B        L   843.64   SubjLeft    F
  2    123  PMG-SL    Perc      2       0  R:D1A-L:D2B        L   945.12   SubjLeft    C
  2    124  PMG-SL    Perc      2       0  R:D1A-L:D2B        L   977.95   SubjLeft    C
  2    125  PMG-SL    Perc      2       0  R:D2B-L:D1B        L   871.63   SubjLeft    F
  2    126  PMG-SL    Perc      2       0  R:D2A-L:D1A        L  1275.31   SubjLeft    F
  2    127  PMG-SL    Perc      2       0  R:D1A-L:D2B        L  1377.39   SubjLeft    C
  2    128  PMG-SL    Perc      2       0  R:D2A-L:D1A        L   913.43   SubjLeft    F
  3      1  MPG-SL    Perc      1       0  R:D1B-L:D2A        S   844.35   SubjLeft    F
  3      2  MPG-SL    Perc      1       0  R:D1B-L:D2B        S  1047.61   SubjLeft    F
  3      3  MPG-SL    Perc      1       0  R:D1B-L:D2A        S  1116.56  SubjRight    C
  3      4  MPG-SL    Perc      1       0  R:D2B-L:D1A        S   889.55   SubjLeft    C
  3      5  MPG-SL    Perc      1       0  R:D1B-L:D2B        S  1020.89  SubjRight    C
  3      6  MPG-SL    Perc      1       0  R:D2A-L:D1B        S   865.48   SubjLeft    C
  3      7  MPG-SL    Perc      1       0  R:D2B-L:D1B        S  1551.11   SubjLeft    C
  3      8  MPG-SL    Perc      1       0  R:D1A-L:D2A        S   696.67  SubjRight    C
  3      9  MPG-SL    Perc      1       0  R:D2A-L:D1A        S  1081.51   SubjLeft    C
  3     10  MPG-SL    Perc      1       0  R:D2B-L:D1B        S  1382.58   SubjLeft    C
  3     11  MPG-SL    Perc      1       0  R:D2A-L:D1A        S  1667.77   SubjLeft    C
  3     12  MPG-SL    Perc      1       0  R:D2A-L:D1B        S  1196.84  SubjRight    F
  3     13  MPG-SL    Perc      1       0  R:D2B-L:D1A        S  1029.02   SubjLeft    C
  3     14  MPG-SL    Perc      1       0  R:D1B-L:D2A        S  1035.35  SubjRight    C
  3     15  MPG-SL    Perc      1       0  R:D2A-L:D1B        S   879.46   SubjLeft    C
  3     16  MPG-SL    Perc      1       0  R:D1A-L:D2A        S  1117.01  SubjRight    C
  3     17  MPG-SL    Perc      1       0  R:D1A-L:D2B        S   829.42   SubjLeft    F
  3     18  MPG-SL    Perc      1       0  R:D2B-L:D1B        S  1262.37  SubjRight    F
  3     19  MPG-SL    Perc      1       0  R:D1A-L:D2B        S  1171.19   SubjLeft    F
  3     20  MPG-SL    Perc      1       0  R:D2A-L:D1B        S  1054.63   SubjLeft    C
  3     21  MPG-SL    Perc      1       0  R:D1A-L:D2B        S  1265.10   SubjLeft    F
  3     22  MPG-SL    Perc      1       0  R:D2B-L:D1B        S   952.98   SubjLeft    C
