Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT
  1      1  PMG-SL   Grasp      1       1          D2A    78.64    310.00
  1      2  PMG-SL   Grasp      1       1          D1B    79.61    325.00
  1      3  PMG-SL   Grasp      1       1          D2A    83.61    355.00
  1      4  PMG-SL   Grasp      1       1          D1B    75.04    370.00
  1      5  PMG-SL   Grasp      1       1          D2B    79.73    290.00
  1      6  PMG-SL   Grasp      1       1          D1A    80.89    235.00
  1      7  PMG-SL   Grasp      1       1          D1A    80.63    280.00
  1      8  PMG-SL   Grasp      1       1          D1B    74.71    270.00
  1      9  PMG-SL   Grasp      1       1          D2A    81.79    235.00
  1     10  PMG-SL   Grasp      1       1          D1A    71.62    285.00
  1     11  PMG-SL   Grasp      1       1          D2B    73.55    260.00
  1     12  PMG-SL   Grasp      1       1          D1A    75.77    275.00
  1     13  PMG-SL   Grasp      1       1          D1A    70.82    370.00
  1     14  PMG-SL   Grasp      1       1          D2A    77.96    330.00
  1     15  PMG-SL   Grasp      1       1          D1B    76.49    330.00
  1     16  PMG-SL   Grasp      1       1          D2B    79.68    510.00
  1     17  PMG-SL   Grasp      1       1          D2A    79.27    285.00
  1     18  PMG-SL   Grasp      1       1          D1B    84.82    400.00
  1     19  PMG-SL   Grasp      1       1          D2B    79.48    330.00
  1     20  PMG-SL   Grasp      1       1          D1A    84.46    255.00
  1     21  PMG-SL   Grasp      1       1          D1B    85.59    310.00
  1     22  PMG-SL   Grasp      1       1          D1B    78.78    240.00
  1     23  PMG-SL   Grasp      1       1          D2B    81.08    290.00
  1     24  PMG-SL   Grasp      1       1          D2A    82.30    750.00
  1     25  PMG-SL   Grasp      1       1          D2B    69.08    215.00
  1     26  PMG-SL   Grasp      1       1          D1B    78.20    920.00
  1     27  PMG-SL   Grasp      1       1          D2B    81.24    215.00
  1     28  PMG-SL   Grasp      1       1          D1A    80.38    225.00
  1     29  PMG-SL   Grasp      1       1          D2A    77.56    290.00
  1     30  PMG-SL   Grasp      1       1          D1A    70.09    245.00
  1     31  PMG-SL   Grasp      1       1          D2A    78.81    230.00
  1     32  PMG-SL   Grasp      1       1          D2B    74.69    215.00
  1     33  PMG-SL   Grasp      2       1          D2A    92.61    255.00
  1     34  PMG-SL   Grasp      2       1          D2A    90.30    390.00
  1     35  PMG-SL   Grasp      2       1          D2B    84.50    635.00
  1     36  PMG-SL   Grasp      2       1          D2A    79.28    385.00
  1     37  PMG-SL   Grasp      2       1          D2A    78.38    300.00
  1     38  PMG-SL   Grasp      2       1          D1A    82.37    285.00
  1     39  PMG-SL   Grasp      2       1          D2A    80.67    255.00
  1     40  PMG-SL   Grasp      2       1          D2B    82.06    230.00
  1     41  PMG-SL   Grasp      2       1          D2B    73.53    275.00
  1     42  PMG-SL   Grasp      2       1          D1B    77.73    250.00
  1     43  PMG-SL   Grasp      2       1          D1A    78.75    300.00
  1     44  PMG-SL   Grasp      2       1          D1A    80.56    250.00
  1     45  PMG-SL   Grasp      2       1          D2A    81.18    265.00
  1     46  PMG-SL   Grasp      2       1          D2B    81.50    305.00
  1     47  PMG-SL   Grasp      2       1          D1A    80.03    510.00
  1     48  PMG-SL   Grasp      2       1          D2B    76.63    245.00
  1     49  PMG-SL   Grasp      2       1          D1A    73.51    255.00
  1     50  PMG-SL   Grasp      2       1          D1A    70.84    365.00
  1     51  PMG-SL   Grasp      2       1          D1A    81.06    365.00
  1     52  PMG-SL   Grasp      2       1          D2A    79.24    315.00
  1     53  PMG-SL   Grasp      2       2          D1B    77.93    415.00
  1     54  PMG-SL   Grasp      2       3          D2B    75.22    240.00
  1     55  PMG-SL   Grasp      2       3          D2B    77.23    225.00
  1     56  PMG-SL   Grasp      2       3          D2B    80.73    690.00
  1     57  PMG-SL   Grasp      2       3          D1B    79.46    350.00
  1     58  PMG-SL   Grasp      2       3          D2A    77.25    365.00
  1     59  PMG-SL   Grasp      2       3          D1B    72.11    410.00
  1     60  PMG-SL   Grasp      2       3          D1B    72.11    615.00
  1     61  PMG-SL   Grasp      2       3          D1B    72.74   1090.00
  1     62  PMG-SL   Grasp      2       3          D1B    69.79    285.00
  1     63  PMG-SL   Grasp      2       3          D1B    73.32    465.00
  1     64  PMG-SL   Grasp      2       3          D1A    78.15    630.00
  1     65  PMG-SL   Grasp      3       3          D2B    85.06    290.00
  1     66  PMG-SL   Grasp      3       3          D1A    80.57    265.00
  1     67  PMG-SL   Grasp      3       3          D1B    81.84    260.00
  1     68  PMG-SL   Grasp      3       3          D2B    83.92    235.00
  1     69  PMG-SL   Grasp      3       3          D2A    75.27    235.00
  1     70  PMG-SL   Grasp      3       3          D2B    80.64    240.00
  1     71  PMG-SL   Grasp      3       3          D2A    75.87    505.00
  1     72  PMG-SL   Grasp      3       3          D2B    77.10    305.00
  1     73  PMG-SL   Grasp      3       3          D2A    80.72    280.00
  1     74  PMG-SL   Grasp      3       3          D1A    75.77    270.00
  1     75  PMG-SL   Grasp      3       3          D1A    64.29    280.00
  1     76  PMG-SL   Grasp      3       3          D1B    69.64    215.00
  1     77  PMG-SL   Grasp      3       3          D1A    78.91    305.00
  1     78  PMG-SL   Grasp      3       3          D1A    76.94    465.00
  1     79  PMG-SL   Grasp      3       3          D1B    76.38    220.00
  1     80  PMG-SL   Grasp      3       3          D1A    79.30    400.00
  1     81  PMG-SL   Grasp      3       3          D2A    78.36    285.00
  1     82  PMG-SL   Grasp      3       3          D2B    80.47    345.00
  1     83  PMG-SL   Grasp      3       3          D2A    69.52    300.00
  1     84  PMG-SL   Grasp      3       3          D2B    72.41    280.00
  1     85  PMG-SL   Grasp      3       3          D1A    80.30    315.00
  1     86  PMG-SL   Grasp      3       3          D2B    73.28    320.00
  1     87  PMG-SL   Grasp      3       3          D1B    74.62    325.00
  1     88  PMG-SL   Grasp      3       3          D1A    75.38    260.00
  1     89  PMG-SL   Grasp      3       3          D1B    81.83    265.00
  1     90  PMG-SL   Grasp      3       3          D2A    78.56    185.00
  1     91  PMG-SL   Grasp      3       3          D1B    80.78    345.00
  1     92  PMG-SL   Grasp      3       3          D1B    78.40    330.00
  1     93  PMG-SL   Grasp      3       3          D1B    78.42    340.00
  1     94  PMG-SL   Grasp      3       3          D2A    81.33    235.00
  1     95  PMG-SL   Grasp      3       3          D2A    77.49    440.00
  1     96  PMG-SL   Grasp      3       3          D2B    85.03    410.00
  1     97  PMG-SL   Grasp      4       3          D2B    80.49    230.00
  1     98  PMG-SL   Grasp      4       3          D2B    79.90    225.00
  1     99  PMG-SL   Grasp      4       3          D2A    74.11    235.00
  1    100  PMG-SL   Grasp      4       3          D2A    80.11    185.00
  1    101  PMG-SL   Grasp      4       3          D1A    82.50    405.00
  1    102  PMG-SL   Grasp      4       3          D1A    76.32    350.00
  1    103  PMG-SL   Grasp      4       3          D2B    82.41    330.00
  1    104  PMG-SL   Grasp      4       3          D2A    81.08    340.00
  1    105  PMG-SL   Grasp      4       3          D2B    78.88    285.00
  1    106  PMG-SL   Grasp      4       3          D1A    79.63    345.00
  1    107  PMG-SL   Grasp      4       3          D1A    77.21    270.00
  1    108  PMG-SL   Grasp      4       3          D1A    77.10    255.00
  1    109  PMG-SL   Grasp      4       3          D1A    75.90    280.00
  1    110  PMG-SL   Grasp      4       3          D1B    71.24    325.00
  1    111  PMG-SL   Grasp      4       3          D1B    77.43    295.00
  1    112  PMG-SL   Grasp      4       3          D2A    72.41    325.00
  1    113  PMG-SL   Grasp      4       3          D2B    71.22    345.00
  1    114  PMG-SL   Grasp      4       3          D2A    85.34    110.00
  1    115  PMG-SL   Grasp      4       3          D1B    65.95    365.00
  1    116  PMG-SL   Grasp      4       3          D2B    71.62    260.00
  1    117  PMG-SL   Grasp      4       3          D2A    80.22    375.00
  1    118  PMG-SL   Grasp      4       3          D2A    73.98    350.00
  1    119  PMG-SL   Grasp      4       3          D2B    72.87    280.00
  1    120  PMG-SL   Grasp      4       3          D2A    72.37    495.00
  1    121  PMG-SL   Grasp      4       3          D1A    75.03    345.00
  1    122  PMG-SL   Grasp      4       3          D1B    71.02    310.00
  1    123  PMG-SL   Grasp      4       3          D1B    71.83    300.00
  1    124  PMG-SL   Grasp      4       3          D1B    73.70    300.00
  1    125  PMG-SL   Grasp      4       3          D1A    73.21    455.00
  1    126  PMG-SL   Grasp      4       3          D1B    77.69    310.00
  1    127  PMG-SL   Grasp      4       3          D2B    72.85    280.00
  1    128  PMG-SL   Grasp      4       3          D1B    70.41    230.00
  2      1  PMG-SL   Grasp      1       0          D2B    75.68    285.00
  2      2  PMG-SL   Grasp      1       0          D1B    68.23    315.00
  2      3  PMG-SL   Grasp      1       0          D1B    70.98    255.00
  2      4  PMG-SL   Grasp      1       0          D1A    73.64    250.00
  2      5  PMG-SL   Grasp      1       0          D1B    67.96    340.00
  2      6  PMG-SL   Grasp      1       0          D2A    69.89    300.00
  2      7  PMG-SL   Grasp      1       0          D2B    66.86    220.00
  2      8  PMG-SL   Grasp      1       0          D1A    66.70    310.00
  2      9  PMG-SL   Grasp      1       0          D2A    67.37    360.00
  2     10  PMG-SL   Grasp      1       0          D2A    63.00    380.00
  2     11  PMG-SL   Grasp      1       0          D2B    67.89    260.00
  2     12  PMG-SL   Grasp      1       0          D2A    64.83    235.00
  2     13  PMG-SL   Grasp      1       0          D1B    67.57    230.00
  2     14  PMG-SL   Grasp      1       0          D1B    66.80    375.00
  2     15  PMG-SL   Grasp      1       0          D2A    64.09    280.00
  2     16  PMG-SL   Grasp      1       0          D2B    65.66    315.00
  2     17  PMG-SL   Grasp      1       0          D1A    69.30    230.00
  2     18  PMG-SL   Grasp      1       0          D2B    70.27    235.00
  2     19  PMG-SL   Grasp      1       0          D1B    63.18    340.00
  2     20  PMG-SL   Grasp      1       0          D2B    68.10    300.00
  2     21  PMG-SL   Grasp      1       0          D2A    66.12    315.00
  2     22  PMG-SL   Grasp      1       0          D1A    65.37    375.00
  2     23  PMG-SL   Grasp      1       0          D1A    66.79    360.00
  2     24  PMG-SL   Grasp      1       0          D1A    66.37    325.00
  2     25  PMG-SL   Grasp      1       0          D2A    69.29    225.00
  2     26  PMG-SL   Grasp      1       0          D1A    65.45    365.00
  2     27  PMG-SL   Grasp      1       0          D2B    56.37    470.00
  2     28  PMG-SL   Grasp      1       0          D1B    66.22    465.00
  2     29  PMG-SL   Grasp      1       0          D2B    64.65    400.00
  2     30  PMG-SL   Grasp      1       0          D1B    64.18    255.00
  2     31  PMG-SL   Grasp      1       0          D2A    67.85    250.00
  2     32  PMG-SL   Grasp      1       0          D1A    68.36    205.00
  2     33  PMG-SL   Grasp      2       0          D2B    67.95    385.00
  2     34  PMG-SL   Grasp      2       0          D2B    69.40    435.00
  2     35  PMG-SL   Grasp      2       0          D2A    63.46    320.00
  2     36  PMG-SL   Grasp      2       0          D1B    67.03    365.00
  2     37  PMG-SL   Grasp      2       0          D2A    68.79    245.00
  2     38  PMG-SL   Grasp      2       0          D2A    65.42    245.00
  2     39  PMG-SL   Grasp      2       0          D2B    65.44    150.00
  2     40  PMG-SL   Grasp      2       0          D1A    67.88    235.00
  2     41  PMG-SL   Grasp      2       0          D2B    64.92    165.00
  2     42  PMG-SL   Grasp      2       0          D2B    65.19    350.00
  2     43  PMG-SL   Grasp      2       0          D1B    70.37    210.00
  2     44  PMG-SL   Grasp      2       0          D1B    63.37    360.00
  2     45  PMG-SL   Grasp      2       0          D2A    65.34    315.00
  2     46  PMG-SL   Grasp      2       0          D1B    64.26    410.00
  2     47  PMG-SL   Grasp      2       0          D1A    62.08    310.00
  2     48  PMG-SL   Grasp      2       0          D2B    63.84    230.00
  2     49  PMG-SL   Grasp      2       0          D2B    65.19    325.00
  2     50  PMG-SL   Grasp      2       0          D2A    67.91    305.00
  2     51  PMG-SL   Grasp      2       0          D1B    63.82    295.00
  2     52  PMG-SL   Grasp      2       0          D1A    68.40    250.00
  2     53  PMG-SL   Grasp      2       0          D2A    69.42    425.00
  2     54  PMG-SL   Grasp      2       0          D1B    67.78    300.00
  2     55  PMG-SL   Grasp      2       0          D1A    66.75    370.00
  2     56  PMG-SL   Grasp      2       0          D1B    69.20    240.00
  2     57  PMG-SL   Grasp      2       0          D1A    64.76    275.00
  2     58  PMG-SL   Grasp      2       0          D1A    66.05    285.00
  2     59  PMG-SL   Grasp      2       0          D1A    71.82    115.00
  2     60  PMG-SL   Grasp      2       0          D2A    69.59    345.00
  2     61  PMG-SL   Grasp      2       0          D1B    71.48    285.00
  2     62  PMG-SL   Grasp      2       0          D2A    66.25    230.00
  2     63  PMG-SL   Grasp      2       0          D1A    70.08    275.00
  2     64  PMG-SL   Grasp      2       0          D2B    69.14    275.00
  2     65  PMG-SL   Grasp      3       0          D1A    70.49    280.00
  2     66  PMG-SL   Grasp      3       0          D2A    69.52    305.00
  2     67  PMG-SL   Grasp      3       0          D1B    67.21    260.00
  2     68  PMG-SL   Grasp      3       0          D1B    64.77    200.00
  2     69  PMG-SL   Grasp      3       0          D2A    67.62    190.00
  2     70  PMG-SL   Grasp      3       0          D2A    72.65    245.00
  2     71  PMG-SL   Grasp      3       0          D2A    66.72    300.00
  2     72  PMG-SL   Grasp      3       0          D1B    67.59    390.00
  2     73  PMG-SL   Grasp      3       0          D2A    68.21    340.00
  2     74  PMG-SL   Grasp      3       0          D1B    68.52    355.00
  2     75  PMG-SL   Grasp      3       0          D1A    67.49    490.00
  2     76  PMG-SL   Grasp      3       0          D2B    68.89    295.00
  2     77  PMG-SL   Grasp      3       0          D1A    74.62    320.00
  2     78  PMG-SL   Grasp      3       0          D1A    71.97    395.00
  2     79  PMG-SL   Grasp      3       0          D1B    70.61    315.00
  2     80  PMG-SL   Grasp      3       0          D1B    68.05    285.00
  2     81  PMG-SL   Grasp      3       0          D2B    62.00    400.00
  2     82  PMG-SL   Grasp      3       0          D2B    68.87    255.00
  2     83  PMG-SL   Grasp      3       0          D2B    69.94    345.00
  2     84  PMG-SL   Grasp      3       0          D1A    68.65    325.00
  2     85  PMG-SL   Grasp      3       0          D1A    69.46    290.00
  2     86  PMG-SL   Grasp      3       0          D2A    71.05    295.00
  2     87  PMG-SL   Grasp      3       0          D2B    70.53    275.00
  2     88  PMG-SL   Grasp      3       0          D2B    72.94    290.00
  2     89  PMG-SL   Grasp      3       0          D2B    69.11    295.00
  2     90  PMG-SL   Grasp      3       0          D1B    69.39    305.00
  2     91  PMG-SL   Grasp      3       0          D2A    69.53    400.00
  2     92  PMG-SL   Grasp      3       0          D2B    67.90    340.00
  2     93  PMG-SL   Grasp      3       0          D2A    66.18    310.00
  2     94  PMG-SL   Grasp      3       0          D1B    70.05    430.00
  2     95  PMG-SL   Grasp      3       0          D1A    63.77    360.00
  2     96  PMG-SL   Grasp      3       0          D1A    68.07    260.00
  2     97  PMG-SL   Grasp      4       0          D1B    72.27    380.00
  2     98  PMG-SL   Grasp      4       0          D1A    67.90    260.00
  2     99  PMG-SL   Grasp      4       0          D1B    66.59    300.00
  2    100  PMG-SL   Grasp      4       0          D2A    70.19    375.00
  2    101  PMG-SL   Grasp      4       0          D1A    59.63    345.00
  2    102  PMG-SL   Grasp      4       0          D2A    65.94    290.00
  2    103  PMG-SL   Grasp      4       0          D2B    66.08    380.00
  2    104  PMG-SL   Grasp      4       0          D2A    67.29    265.00
  2    105  PMG-SL   Grasp      4       0          D2B    65.91    265.00
  2    106  PMG-SL   Grasp      4       0          D2A    66.02    295.00
  2    107  PMG-SL   Grasp      4       0          D1A    63.56    330.00
  2    108  PMG-SL   Grasp      4       0          D1A    69.03    375.00
  2    109  PMG-SL   Grasp      4       0          D2A    69.17    285.00
  2    110  PMG-SL   Grasp      4       0          D2B    71.09    315.00
  2    111  PMG-SL   Grasp      4       0          D1B    68.68    325.00
  2    112  PMG-SL   Grasp      4       0          D2B    66.43    215.00
  2    113  PMG-SL   Grasp      4       0          D2B    64.91    300.00
  2    114  PMG-SL   Grasp      4       0          D1A    67.91    305.00
  2    115  PMG-SL   Grasp      4       0          D1B    66.49    330.00
  2    116  PMG-SL   Grasp      4       0          D1B    66.27    395.00
  2    117  PMG-SL   Grasp      4       0          D1B    70.79    300.00
  2    118  PMG-SL   Grasp      4       0          D2A    70.56    260.00
  2    119  PMG-SL   Grasp      4       0          D2B    70.62    210.00
  2    120  PMG-SL   Grasp      4       0          D1A    68.57    245.00
  2    121  PMG-SL   Grasp      4       0          D1A    67.00    265.00
  2    122  PMG-SL   Grasp      4       0          D1B    70.03    235.00
  2    123  PMG-SL   Grasp      4       0          D2B    71.60    210.00
  2    124  PMG-SL   Grasp      4       0          D2B    66.96    225.00
  2    125  PMG-SL   Grasp      4       0          D2A    66.01    255.00
  2    126  PMG-SL   Grasp      4       0          D1A    68.77    275.00
  2    127  PMG-SL   Grasp      4       0          D1B    67.07    290.00
  2    128  PMG-SL   Grasp      4       0          D2A    68.62    305.00
  3      1  MPG-SL   Grasp      1       0          D1B    81.44    395.00
  3      2  MPG-SL   Grasp      1       0          D1B    71.63    315.00
  3      3  MPG-SL   Grasp      1       0          D1B    70.67    350.00
  3      4  MPG-SL   Grasp      1       0          D1A    82.37    350.00
  3      5  MPG-SL   Grasp      1       0          D2B    77.66    230.00
  3      6  MPG-SL   Grasp      1       0          D2A    78.68    390.00
  3      7  MPG-SL   Grasp      1       0          D1B    77.88    410.00
