Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT
  1      1  PMG-SL  ManEst      1       2          D2B       65.26    525.00
  1      2  PMG-SL  ManEst      1       2          D2A       61.25    595.00
  1      3  PMG-SL  ManEst      1       2          D1B       60.13    280.00
  1      4  PMG-SL  ManEst      1       2          D2A       56.64    470.00
  1      5  PMG-SL  ManEst      1       2          D1A       57.92    410.00
  1      6  PMG-SL  ManEst      1       2          D1B       55.80    325.00
  1      7  PMG-SL  ManEst      1       4          D2A       59.47    310.00
  1      8  PMG-SL  ManEst      1       6          D1B       59.30    340.00
  1      9  PMG-SL  ManEst      1       6          D2A       55.99    450.00
  1     10  PMG-SL  ManEst      1       6          D2B       60.68    250.00
  1     11  PMG-SL  ManEst      1      10          D2A       57.99    400.00
  1     12  PMG-SL  ManEst      1      10          D2B       58.29    425.00
  1     13  PMG-SL  ManEst      1      10          D1B       62.10    370.00
  1     14  PMG-SL  ManEst      1      11          D1A       60.91    590.00
  1     15  PMG-SL  ManEst      1      12          D1A       61.18    405.00
  1     16  PMG-SL  ManEst      1      12          D2A       61.44    255.00
  1     17  PMG-SL  ManEst      1      12          D1A       61.95    300.00
  1     18  PMG-SL  ManEst      1      12          D1A       59.69    280.00
  1     19  PMG-SL  ManEst      1      12          D2B       57.40    355.00
  1     20  PMG-SL  ManEst      1      12          D1A       55.19    495.00
  1     21  PMG-SL  ManEst      1      12          D2B       56.17    490.00
  1     22  PMG-SL  ManEst      1      12          D2A       57.39    260.00
  1     23  PMG-SL  ManEst      1      12          D2A       58.06    270.00
  1     24  PMG-SL  ManEst      1      12          D1A       60.03    370.00
  1     25  PMG-SL  ManEst      1      12          D2B       62.28    280.00
  1     26  PMG-SL  ManEst      1      12          D2B       60.95    200.00
  1     27  PMG-SL  ManEst      1      12          D1B       55.54    625.00
  1     28  PMG-SL  ManEst      1      12          D1B       56.92    260.00
  1     29  PMG-SL  ManEst      1      12          D1B       61.95    225.00
  1     30  PMG-SL  ManEst      1      12          D1B       58.12    285.00
  1     31  PMG-SL  ManEst      1      12          D2B       56.32    265.00
  1     32  PMG-SL  ManEst      1      12          D1A       56.95    275.00
  1     33  PMG-SL  ManEst      2      12          D1A       54.17    215.00
  1     34  PMG-SL  ManEst      2      12          D1B       58.58    290.00
  1     35  PMG-SL  ManEst      2      12          D1A       59.43    335.00
  1     36  PMG-SL  ManEst      2      12          D1A       54.37    360.00
  1     37  PMG-SL  ManEst      2      12          D2A       54.36    350.00
  1     38  PMG-SL  ManEst      2      12          D1A       59.01    215.00
  1     39  PMG-SL  ManEst      2      12          D2B       56.13    350.00
  1     40  PMG-SL  ManEst      2      12          D2A       59.52    300.00
  1     41  PMG-SL  ManEst      2      12          D1A       57.56    350.00
  1     42  PMG-SL  ManEst      2      12          D2A       57.73    260.00
  1     43  PMG-SL  ManEst      2      12          D1B       56.15    365.00
  1     44  PMG-SL  ManEst      2      12          D1B       56.61    285.00
  1     45  PMG-SL  ManEst      2      12          D1B       52.30    355.00
  1     46  PMG-SL  ManEst      2      12          D2B       56.33    310.00
  1     47  PMG-SL  ManEst      2      12          D2B       53.57    285.00
  1     48  PMG-SL  ManEst      2      12          D2A       54.44    340.00
  1     49  PMG-SL  ManEst      2      12          D2A       56.81    405.00
  1     50  PMG-SL  ManEst      2      13          D1B       58.90    480.00
  1     51  PMG-SL  ManEst      2      13          D2B       55.93    340.00
  1     52  PMG-SL  ManEst      2      13          D2A       59.01    275.00
  1     53  PMG-SL  ManEst      2      13          D1A       58.47    405.00
