Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp
  1      1  PMG-SL   Grasp      1       1          D2A    78.82    310.00     61.28
  1      2  PMG-SL   Grasp      1       1          D1B    79.61    325.00     62.07
  1      3  PMG-SL   Grasp      1       1          D2A    83.71    355.00     66.17
  1      4  PMG-SL   Grasp      1       1          D1B    75.04    370.00     57.50
  1      5  PMG-SL   Grasp      1       1          D2B    79.73    290.00     62.19
  1      6  PMG-SL   Grasp      1       1          D1A    80.89    235.00     63.35
  1      7  PMG-SL   Grasp      1       1          D1A    80.63    280.00     63.09
  1      8  PMG-SL   Grasp      1       1          D1B    74.71    270.00     57.17
  1      9  PMG-SL   Grasp      1       1          D2A    81.79    235.00     64.25
  1     10  PMG-SL   Grasp      1       1          D1A    71.62    285.00     54.08
  1     11  PMG-SL   Grasp      1       1          D2B    74.37    260.00     56.83
  1     12  PMG-SL   Grasp      1       1          D1A    75.83    275.00     58.29
  1     13  PMG-SL   Grasp      1       1          D1A    72.47    370.00     54.93
  1     14  PMG-SL   Grasp      1       1          D2A    77.96    330.00     60.42
  1     15  PMG-SL   Grasp      1       1          D1B    76.49    330.00     58.95
  1     16  PMG-SL   Grasp      1       1          D2B    79.87    510.00     62.33
  1     17  PMG-SL   Grasp      1       1          D2A    79.27    285.00     61.73
  1     18  PMG-SL   Grasp      1       1          D1B    84.86    400.00     67.32
  1     19  PMG-SL   Grasp      1       1          D2B    79.49    330.00     61.95
  1     20  PMG-SL   Grasp      1       1          D1A    84.46    255.00     66.92
  1     21  PMG-SL   Grasp      1       1          D1B    85.59    310.00     68.05
  1     22  PMG-SL   Grasp      1       1          D1B    78.78    240.00     61.24
  1     23  PMG-SL   Grasp      1       1          D2B    81.08    290.00     63.54
  1     24  PMG-SL   Grasp      1       1          D2A    82.30    750.00     64.76
  1     25  PMG-SL   Grasp      1       1          D2B    69.36    215.00     51.82
  1     26  PMG-SL   Grasp      1       1          D1B    78.20    920.00     60.66
  1     27  PMG-SL   Grasp      1       1          D2B    81.24    215.00     63.70
  1     28  PMG-SL   Grasp      1       1          D1A    80.38    225.00     62.84
  1     29  PMG-SL   Grasp      1       1          D2A    77.56    290.00     60.02
  1     30  PMG-SL   Grasp      1       1          D1A    70.09    245.00     52.55
  1     31  PMG-SL   Grasp      1       1          D2A    78.81    230.00     61.27
  1     32  PMG-SL   Grasp      1       1          D2B    74.69    215.00     57.15
  1     33  PMG-SL   Grasp      2       1          D2A    92.61    255.00     75.47
  1     34  PMG-SL   Grasp      2       1          D2A    90.30    390.00     73.17
  1     35  PMG-SL   Grasp      2       1          D2B    84.50    635.00     67.36
  1     36  PMG-SL   Grasp      2       1          D2A    79.28    385.00     62.14
  1     37  PMG-SL   Grasp      2       1          D2A    78.38    300.00     61.25
  1     38  PMG-SL   Grasp      2       1          D1A    82.82    285.00     65.68
  1     39  PMG-SL   Grasp      2       1          D2A    80.67    255.00     63.53
  1     40  PMG-SL   Grasp      2       1          D2B    82.06    230.00     64.92
  1     41  PMG-SL   Grasp      2       1          D2B    73.54    275.00     56.40
  1     42  PMG-SL   Grasp      2       1          D1B    78.60    250.00     61.46
  1     43  PMG-SL   Grasp      2       1          D1A    79.31    300.00     62.17
  1     44  PMG-SL   Grasp      2       1          D1A    80.56    250.00     63.42
  1     45  PMG-SL   Grasp      2       1          D2A    81.18    265.00     64.04
