Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp     MaxApTime       G12FGAp        RT  TouchedAp  TouchedTime       GGRT
  1      1  PMG-SL   Grasp      1       1          D2A    78.64        700.00         56.74    310.00      78.58       730.00     315.00
  1      2  PMG-SL   Grasp      1       1          D1B    79.61        895.00         58.74    325.00      79.36       915.00     330.00
  1      3  PMG-SL   Grasp      1       1          D2A    83.61        755.00         57.60    355.00      83.61       755.00     335.00
  1      4  PMG-SL   Grasp      1       1          D1B    75.04        790.00         57.51    370.00      72.67       850.00     350.00
  1      5  PMG-SL   Grasp      1       1          D2B    79.73        695.00         57.45    290.00      79.73       700.00     280.00
  1      6  PMG-SL   Grasp      1       1          D1A    80.89        660.00         57.63    235.00      80.85       665.00     230.00
  1      7  PMG-SL   Grasp      1       1          D1A    80.63        695.00         58.55    280.00      80.54       700.00     270.00
  1      8  PMG-SL   Grasp      1       1          D1B    74.71        660.00         55.95    270.00      74.66       670.00     255.00
  1      9  PMG-SL   Grasp      1       1          D2A    81.79        650.00         58.10    235.00      81.15       670.00     240.00
  1     10  PMG-SL   Grasp      1       1          D1A    71.62        680.00         58.20    285.00      71.12       710.00     280.00
  1     11  PMG-SL   Grasp      1       1          D2B    73.55        620.00         57.29    260.00      73.55       620.00     250.00
  1     12  PMG-SL   Grasp      1       1          D1A    75.77        705.00         56.31    275.00      75.77       705.00     255.00
  1     13  PMG-SL   Grasp      1       1          D1A    70.82        785.00         57.56    370.00      70.82       785.00     365.00
  1     14  PMG-SL   Grasp      1       1          D2A    77.96        845.00         58.51    330.00      77.93       850.00     290.00
  1     15  PMG-SL   Grasp      1       1          D1B    76.49        785.00         57.57    330.00      76.45       790.00     315.00
  1     16  PMG-SL   Grasp      1       1          D2B    79.68        920.00         58.42    510.00      79.68       920.00     495.00
  1     17  PMG-SL   Grasp      1       1          D2A    79.27        770.00         57.69    285.00      77.70       805.00     280.00
  1     18  PMG-SL   Grasp      1       1          D1B    84.82        780.00         56.10    400.00      84.82       780.00     370.00
  1     19  PMG-SL   Grasp      1       1          D2B    79.48        615.00         56.89    330.00      79.48       615.00     330.00
  1     20  PMG-SL   Grasp      1       1          D1A    84.46        620.00         56.32    255.00      84.00       635.00     270.00
  1     21  PMG-SL   Grasp      1       1          D1B    85.59        705.00         57.83    310.00      85.07       725.00     310.00
  1     22  PMG-SL   Grasp      1       1          D1B    78.78        600.00         57.33    240.00      73.31       670.00     220.00
  1     23  PMG-SL   Grasp      1       1          D2B    81.08        740.00         58.36    290.00      77.95       840.00     245.00
  1     24  PMG-SL   Grasp      1       1          D2A    82.30       1095.00         58.60    750.00      80.85      1145.00     735.00
  1     25  PMG-SL   Grasp      1       1          D2B    69.08        585.00         57.85    215.00      69.08       585.00     215.00
  1     26  PMG-SL   Grasp      1       1          D1B    78.20       1335.00         57.80    920.00      76.48      1390.00     935.00
  1     27  PMG-SL   Grasp      1       1          D2B    81.24        620.00         57.28    215.00      80.92       645.00     220.00
  1     28  PMG-SL   Grasp      1       1          D1A    80.38        720.00         56.40    225.00      80.38       720.00     285.00
  1     29  PMG-SL   Grasp      1       1          D2A    77.56        765.00         57.64    290.00      76.94       790.00     285.00
  1     30  PMG-SL   Grasp      1       1          D1A    70.09       1165.00         57.44    245.00      69.07      1190.00     870.00
  1     31  PMG-SL   Grasp      1       1          D2A    78.81        805.00         57.66    230.00      78.61       815.00     310.00
  1     32  PMG-SL   Grasp      1       1          D2B    74.69        790.00         57.98    215.00      74.05       815.00     225.00
  1     33  PMG-SL   Grasp      2       1          D2A    92.61        590.00         57.06    255.00      90.17       635.00     250.00
  1     34  PMG-SL   Grasp      2       1          D2A    90.30        750.00         56.94    390.00      86.13       805.00     370.00
  1     35  PMG-SL   Grasp      2       1          D2B    84.50       1050.00         57.36    635.00      79.97      1125.00     680.00
  1     36  PMG-SL   Grasp      2       1          D2A    79.28        895.00         57.78    385.00      78.52       920.00     400.00
  1     37  PMG-SL   Grasp      2       1          D2A    78.38        705.00         57.43    300.00      78.38       705.00     275.00
  1     38  PMG-SL   Grasp      2       1          D1A    82.37        685.00         55.64    285.00      82.37       685.00     275.00
  1     39  PMG-SL   Grasp      2       1          D2A    80.67        675.00         58.05    255.00      80.26       705.00     245.00
  1     40  PMG-SL   Grasp      2       1          D2B    82.06        720.00         58.92    230.00      76.82       830.00     240.00
  1     41  PMG-SL   Grasp      2       1          D2B    73.53        660.00         58.36    275.00      73.53       660.00     275.00
  1     42  PMG-SL   Grasp      2       1          D1B    77.73        635.00         57.13    250.00      77.73       635.00     255.00
  1     43  PMG-SL   Grasp      2       1          D1A    78.75        825.00         56.80    300.00      78.75       825.00     275.00
  1     44  PMG-SL   Grasp      2       1          D1A    80.56        665.00         56.54    250.00      78.19       710.00     250.00
  1     45  PMG-SL   Grasp      2       1          D2A    81.18        645.00         55.22    265.00      81.02       660.00     255.00
  1     46  PMG-SL   Grasp      2       1          D2B    81.50        755.00         56.85    305.00      81.47       760.00     285.00
  1     47  PMG-SL   Grasp      2       1          D1A    80.03        855.00         57.13    510.00      79.28       885.00     500.00
  1     48  PMG-SL   Grasp      2       1          D2B    76.63        685.00         57.17    245.00      72.53       760.00     240.00
  1     49  PMG-SL   Grasp      2       1          D1A    73.51        650.00         56.96    255.00      73.47       700.00     255.00
  1     50  PMG-SL   Grasp      2       1          D1A    70.84        795.00         55.98    365.00      70.84       795.00     350.00
  1     51  PMG-SL   Grasp      2       1          D1A    81.06        775.00         56.45    365.00      80.71       795.00     360.00
  1     52  PMG-SL   Grasp      2       1          D2A    79.24        810.00         56.51    315.00      77.10       850.00     335.00
  1     53  PMG-SL   Grasp      2       2          D1B    77.93        880.00         57.22    415.00      77.20       900.00     425.00
  1     54  PMG-SL   Grasp      2       3          D2B    75.22        750.00         57.30    240.00      72.97       830.00     215.00
  1     55  PMG-SL   Grasp      2       3          D2B    77.23        670.00         57.32    225.00      77.02       680.00     230.00
