Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst
  1      1  PMG-SL  ManEst      1       2          D2B       65.26    525.00       46.83
  1      2  PMG-SL  ManEst      1       2          D2A       61.25    595.00       42.82
  1      3  PMG-SL  ManEst      1       2          D1B       60.13    280.00       41.70
  1      4  PMG-SL  ManEst      1       2          D2A       56.64    470.00       38.21
  1      5  PMG-SL  ManEst      1       2          D1A       57.92    410.00       39.48
  1      6  PMG-SL  ManEst      1       2          D1B       55.80    325.00       37.36
  1      7  PMG-SL  ManEst      1       4          D2A       59.47    310.00       41.03
  1      8  PMG-SL  ManEst      1       6          D1B       59.30    340.00       40.87
  1      9  PMG-SL  ManEst      1       6          D2A       55.99    450.00       37.55
  1     10  PMG-SL  ManEst      1       6          D2B       60.68    250.00       42.24
  1     11  PMG-SL  ManEst      1      10          D2A       57.99    400.00       39.56
  1     12  PMG-SL  ManEst      1      10          D2B       58.29    425.00       39.86
  1     13  PMG-SL  ManEst      1      10          D1B       62.10    370.00       43.66
  1     14  PMG-SL  ManEst      1      11          D1A       60.91    590.00       42.47
  1     15  PMG-SL  ManEst      1      12          D1A       61.18    405.00       42.75
  1     16  PMG-SL  ManEst      1      12          D2A       61.44    255.00       43.00
  1     17  PMG-SL  ManEst      1      12          D1A       61.95    300.00       43.51
  1     18  PMG-SL  ManEst      1      12          D1A       59.69    280.00       41.26
  1     19  PMG-SL  ManEst      1      12          D2B       57.40    355.00       38.97
  1     20  PMG-SL  ManEst      1      12          D1A       55.19    495.00       36.75
  1     21  PMG-SL  ManEst      1      12          D2B       56.17    490.00       37.73
  1     22  PMG-SL  ManEst      1      12          D2A       57.39    260.00       38.95
  1     23  PMG-SL  ManEst      1      12          D2A       58.06    270.00       39.62
  1     24  PMG-SL  ManEst      1      12          D1A       60.03    370.00       41.59
  1     25  PMG-SL  ManEst      1      12          D2B       62.28    280.00       43.85
  1     26  PMG-SL  ManEst      1      12          D2B       60.95    200.00       42.51
  1     27  PMG-SL  ManEst      1      12          D1B       55.54    625.00       37.10
  1     28  PMG-SL  ManEst      1      12          D1B       56.92    260.00       38.48
  1     29  PMG-SL  ManEst      1      12          D1B       61.95    225.00       43.51
  1     30  PMG-SL  ManEst      1      12          D1B       58.12    285.00       39.68
  1     31  PMG-SL  ManEst      1      12          D2B       56.32    265.00       37.88
  1     32  PMG-SL  ManEst      1      12          D1A       56.95    275.00       38.52
  1     33  PMG-SL  ManEst      2      12          D1A       54.17    215.00       36.19
  1     34  PMG-SL  ManEst      2      12          D1B       58.58    290.00       40.60
  1     35  PMG-SL  ManEst      2      12          D1A       59.43    335.00       41.45
  1     36  PMG-SL  ManEst      2      12          D1A       54.37    360.00       36.39
  1     37  PMG-SL  ManEst      2      12          D2A       54.36    350.00       36.38
  1     38  PMG-SL  ManEst      2      12          D1A       59.01    215.00       41.03
  1     39  PMG-SL  ManEst      2      12          D2B       56.13    350.00       38.15
  1     40  PMG-SL  ManEst      2      12          D2A       59.52    300.00       41.54
  1     41  PMG-SL  ManEst      2      12          D1A       57.56    350.00       39.58
  1     42  PMG-SL  ManEst      2      12          D2A       57.73    260.00       39.75
  1     43  PMG-SL  ManEst      2      12          D1B       56.15    365.00       38.16
  1     44  PMG-SL  ManEst      2      12          D1B       56.61    285.00       38.63
  1     45  PMG-SL  ManEst      2      12          D1B       52.30    355.00       34.32
  1     46  PMG-SL  ManEst      2      12          D2B       56.33    310.00       38.35
