Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst    ManEstTime    G12FGAp        RT       MT    GGManEst    GGManEstTime      GGRT
  1      1  PMG-SL  ManEst      1       2          D2B       65.26       1400.70      58.40    525.00   875.70       67.69         1060.00    510.00
  1      2  PMG-SL  ManEst      1       2          D2A       61.25       1570.09      59.28    595.00   975.09       62.84         1125.00    575.00
  1      3  PMG-SL  ManEst      1       2          D1B       60.13       1034.40      58.80    280.00   754.40       62.02          710.00    280.00
  1      4  PMG-SL  ManEst      1       2          D2A       56.64       1238.27      58.02    470.00   768.27       57.08         1030.00    470.00
  1      5  PMG-SL  ManEst      1       2          D1A       57.92       1299.25      57.51    410.00   889.25       59.06          905.00    395.00
  1      6  PMG-SL  ManEst      1       2          D1B       55.80       1372.08      58.54    325.00  1047.08       57.47         1145.00    335.00
  1      7  PMG-SL  ManEst      1       4          D2A       59.47       1369.23      59.31    310.00  1059.23       63.33         1020.00    325.00
  1      8  PMG-SL  ManEst      1       6          D1B       59.30       1209.36      58.66    340.00   869.36       63.53          830.00    350.00
  1      9  PMG-SL  ManEst      1       6          D2A       55.99       1261.34      57.64    450.00   811.34       57.74         1040.00    515.00
  1     10  PMG-SL  ManEst      1       6          D2B       60.68       1090.40      59.33    250.00   840.40       61.53          915.00    270.00
  1     11  PMG-SL  ManEst      1      10          D2A       57.99       1649.00      57.91    400.00  1249.00       57.69         1115.00    400.00
  1     12  PMG-SL  ManEst      1      10          D2B       58.29       1773.89      58.20    425.00  1348.89       64.62          880.00    415.00
  1     13  PMG-SL  ManEst      1      10          D1B       62.10       1646.99      57.77    370.00  1276.99       62.52          885.00    430.00
  1     14  PMG-SL  ManEst      1      11          D1A       60.91       1802.01      58.96    590.00  1212.01       62.21         1590.00    570.00
  1     15  PMG-SL  ManEst      1      12          D1A       61.18       1353.27      58.81    405.00   948.27       61.33          925.00    385.00
  1     16  PMG-SL  ManEst      1      12          D2A       61.44       1358.21      58.74    255.00  1103.21       63.72          875.00    255.00
  1     17  PMG-SL  ManEst      1      12          D1A       61.95       1213.30      58.55    300.00   913.30       62.92          995.00    295.00
  1     18  PMG-SL  ManEst      1      12          D1A       59.69       1180.32      58.80    280.00   900.32       60.67          945.00    300.00
  1     19  PMG-SL  ManEst      1      12          D2B       57.40       1453.17      58.19    355.00  1098.17       56.34          745.00    335.00
  1     20  PMG-SL  ManEst      1      12          D1A       55.19       1472.24      59.23    495.00   977.24       57.50         1105.00    480.00
  1     21  PMG-SL  ManEst      1      12          D2B       56.17       1271.47      58.72    490.00   781.47       57.91          880.00    485.00
  1     22  PMG-SL  ManEst      1      12          D2A       57.39       1079.11      57.74    260.00   819.11       59.98          805.00    235.00
  1     23  PMG-SL  ManEst      1      12          D2A       58.06       1202.42      57.97    270.00   932.42       59.55          790.00    285.00
  1     24  PMG-SL  ManEst      1      12          D1A       60.03       1441.67      57.70    370.00  1071.67       62.14          855.00    355.00
  1     25  PMG-SL  ManEst      1      12          D2B       62.28       1333.23      61.46    280.00  1053.23       63.16         1115.00    285.00
  1     26  PMG-SL  ManEst      1      12          D2B       60.95       1068.47      58.34    200.00   868.47       60.27          615.00    185.00
  1     27  PMG-SL  ManEst      1      12          D1B       55.54       1609.07      58.10    625.00   984.07       60.67         1230.00    635.00
  1     28  PMG-SL  ManEst      1      12          D1B       56.92       1457.75      57.48    260.00  1197.75       57.68         1280.00    295.00
  1     29  PMG-SL  ManEst      1      12          D1B       61.95       1274.12      57.94    225.00  1049.12       61.91         1280.00    235.00
  1     30  PMG-SL  ManEst      1      12          D1B       58.12       1562.08      58.09    285.00  1277.08       58.80         1375.00    275.00
  1     31  PMG-SL  ManEst      1      12          D2B       56.32       1443.19      58.34    265.00  1178.19       54.67          715.00    260.00
  1     32  PMG-SL  ManEst      1      12          D1A       56.95       1402.23      57.44    275.00  1127.23       55.66          625.00    275.00
  1     33  PMG-SL  ManEst      2      12          D1A       54.17       1117.74      57.75    215.00   902.74       56.39          865.00    235.00
  1     34  PMG-SL  ManEst      2      12          D1B       58.58       1182.40      58.21    290.00   892.40       61.06          830.00    300.00
  1     35  PMG-SL  ManEst      2      12          D1A       59.43       1326.41      55.97    335.00   991.41       60.95         1070.00    300.00
  1     36  PMG-SL  ManEst      2      12          D1A       54.37       1304.32      57.22    360.00   944.32       56.10          795.00    355.00
  1     37  PMG-SL  ManEst      2      12          D2A       54.36       1450.16      57.66    350.00  1100.16       59.01         1055.00    310.00
  1     38  PMG-SL  ManEst      2      12          D1A       59.01       1120.37      58.39    215.00   905.37       61.32          820.00    225.00
  1     39  PMG-SL  ManEst      2      12          D2B       56.13       1366.17      58.33    350.00  1016.17       58.68          705.00    345.00
  1     40  PMG-SL  ManEst      2      12          D2A       59.52       1290.71      58.32    300.00   990.71       59.48          795.00    285.00
  1     41  PMG-SL  ManEst      2      12          D1A       57.56       1442.62      56.41    350.00  1092.62       58.68         1245.00    300.00
  1     42  PMG-SL  ManEst      2      12          D2A       57.73       1535.09      57.95    260.00  1275.09       61.67          795.00    280.00
  1     43  PMG-SL  ManEst      2      12          D1B       56.15       1678.04      58.78    365.00  1313.04       56.65         1210.00    360.00
  1     44  PMG-SL  ManEst      2      12          D1B       56.61       1404.78      57.75    285.00  1119.78       61.88         1030.00    275.00
  1     45  PMG-SL  ManEst      2      12          D1B       52.30       1438.11      55.58    355.00  1083.11       54.91         1240.00    375.00
  1     46  PMG-SL  ManEst      2      12          D2B       56.33       1302.30      58.11    310.00   992.30       56.83          950.00    335.00
  1     47  PMG-SL  ManEst      2      12          D2B       53.57       1448.19      57.19    285.00  1163.19       56.21          920.00    290.00
  1     48  PMG-SL  ManEst      2      12          D2A       54.44       1439.10      57.90    340.00  1099.10       55.97         1075.00    355.00
  1     49  PMG-SL  ManEst      2      12          D2A       56.81       1371.18      57.86    405.00   966.18       57.70         1090.00    405.00
  1     50  PMG-SL  ManEst      2      13          D1B       58.90       1492.11      58.58    480.00  1012.11       62.79         1005.00    480.00
  1     51  PMG-SL  ManEst      2      13          D2B       55.93       1271.29      59.41    340.00   931.29       59.50          965.00    345.00
  1     52  PMG-SL  ManEst      2      13          D2A       59.01       1501.91      58.71    275.00  1226.91       64.03          730.00    295.00
  1     53  PMG-SL  ManEst      2      13          D1A       58.47       1496.12      58.24    405.00  1091.12       59.88          980.00    380.00
