Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp FGApApproved
  1      1 MPGE-SL   Grasp      1       0          D1B    71.94    370.00     49.46            1
  1      2 MPGE-SL   Grasp      1       0          D2A    72.38    250.00     49.90            1
  1      3 MPGE-SL   Grasp      1       0          D1A    75.83    245.00     53.35            1
  1      4 MPGE-SL   Grasp      1       0          D2A    77.77    270.00     55.29            1
  1      5 MPGE-SL   Grasp      1       0          D2B    75.73    320.00     53.25            1
  1      6 MPGE-SL   Grasp      1       0          D2A    80.47    275.00     57.99            1
  1      7 MPGE-SL   Grasp      1       0          D2A    75.94    270.00     53.46            1
  1      8 MPGE-SL   Grasp      1       0          D2B    73.07    310.00     50.59            1
  1      9 MPGE-SL   Grasp      1       1          D1B    78.62    315.00     56.14            1
  1     10 MPGE-SL   Grasp      1       1          D2B    79.85    330.00     57.37            1
  1     11 MPGE-SL   Grasp      1       1          D1A    77.83    350.00     55.35            1
  1     12 MPGE-SL   Grasp      1       1          D1B    80.16    340.00     57.68            1
  1     13 MPGE-SL   Grasp      1       1          D1B    75.67    400.00     53.19            1
  1     14 MPGE-SL   Grasp      1       1          D1B    76.05    390.00     53.57            1
  1     15 MPGE-SL   Grasp      1       1          D1B    81.62    255.00     59.14            1
  1     16 MPGE-SL   Grasp      1       1          D2A    78.38    300.00     55.90            1
  1     17 MPGE-SL   Grasp      1       1          D1A    77.49    370.00     55.01            1
  1     18 MPGE-SL   Grasp      1       1          D1A    75.54    350.00     53.06            1
  1     19 MPGE-SL   Grasp      1       1          D2B    80.28    275.00     57.80            1
  1     20 MPGE-SL   Grasp      1       1          D1B    75.25    365.00     52.77            1
  1     21 MPGE-SL   Grasp      1       1          D2A    78.08    380.00     55.60            1
  1     22 MPGE-SL   Grasp      1       1          D2A    72.88    325.00     50.40            1
  1     23 MPGE-SL   Grasp      1       1          D2A    73.60    315.00     51.12            1
  1     24 MPGE-SL   Grasp      1       1          D1A    77.16    270.00     54.68            1
  1     25 MPGE-SL   Grasp      1       1          D2B    74.38    305.00     51.90            1
  1     26 MPGE-SL   Grasp      1       1          D2B    73.88    470.00     51.40            1
  1     27 MPGE-SL   Grasp      1       1          D1A    76.45    435.00     53.97            1
  1     28 MPGE-SL   Grasp      1       1          D2B    76.06    460.00     53.58            1
  1     29 MPGE-SL   Grasp      1       1          D1A    76.24    485.00     53.76            1
  1     30 MPGE-SL   Grasp      1       1          D1A    72.11    430.00     49.63            1
  1     31 MPGE-SL   Grasp      1       1          D2B    77.07    260.00     54.59            1
  1     32 MPGE-SL   Grasp      1       1          D1B    71.65    545.00     49.17            1
  1     33 MPGE-SL   Grasp      2       1          D2A    75.95    375.00     53.68            1
  1     34 MPGE-SL   Grasp      2       1          D1A    75.86    320.00     53.58            1
  1     35 MPGE-SL   Grasp      2       1          D2A    75.46    300.00     53.19            1
  1     36 MPGE-SL   Grasp      2       1          D1A    73.25    380.00     50.97            1
  1     37 MPGE-SL   Grasp      2       1          D1A    76.75    320.00     54.48            1
  1     38 MPGE-SL   Grasp      2       1          D2B    74.19    325.00     51.92            1
  1     39 MPGE-SL   Grasp      2       1          D2B    74.37    315.00     52.10            1
  1     40 MPGE-SL   Grasp      2       1          D2B    77.01    335.00     54.74            1
  1     41 MPGE-SL   Grasp      2       1          D1A    77.72    430.00     55.45            1
  1     42 MPGE-SL   Grasp      2       1          D2B    84.31    230.00     62.04            1
  1     43 MPGE-SL   Grasp      2       1          D2A    80.61    305.00     58.33            1
  1     44 MPGE-SL   Grasp      2       1          D1B    75.83    445.00     53.55            1
  1     45 MPGE-SL   Grasp      2       1          D2B    80.22    300.00     57.95            1
  1     46 MPGE-SL   Grasp      2       1          D2B    79.40    270.00     57.13            1
  1     47 MPGE-SL   Grasp      2       1          D1A    79.20    380.00     56.93            1
  1     48 MPGE-SL   Grasp      2       1          D2A    77.45    370.00     55.17            1
  1     49 MPGE-SL   Grasp      2       1          D2B    75.55    335.00     53.27            1
  1     50 MPGE-SL   Grasp      2       1          D2A    77.14    385.00     54.87            1
  1     51 MPGE-SL   Grasp      2       2          D1A    81.22    395.00     58.95            1
  1     52 MPGE-SL   Grasp      2       2          D1B    77.35    340.00     55.08            1
  1     53 MPGE-SL   Grasp      2       2          D2B    75.35    310.00     53.07            1
  1     54 MPGE-SL   Grasp      2       2          D1B    77.57    450.00     55.29            1
  1     55 MPGE-SL   Grasp      2       2          D2A    78.22    285.00     55.94            1
  1     56 MPGE-SL   Grasp      2       2          D1B    75.74    310.00     53.47            1
  1     57 MPGE-SL   Grasp      2       2          D1B    77.64    320.00     55.36            1
  1     58 MPGE-SL   Grasp      2       2          D1A    74.72    380.00     52.45            1
  1     59 MPGE-SL   Grasp      2       2          D1B    73.96    295.00     51.68            1
  1     60 MPGE-SL   Grasp      2       2          D1A    75.19    310.00     52.92            1
  1     61 MPGE-SL   Grasp      2       2          D2A    76.26    320.00     53.98            1
  1     62 MPGE-SL   Grasp      2       2          D1B    79.27    280.00     57.00            1
  1     63 MPGE-SL   Grasp      2       3          D2A    77.34    270.00     55.07            1
  1     64 MPGE-SL   Grasp      2       3          D1B    81.94    295.00     59.66            1
  1     65 MPGE-SL   Grasp      3       3          D2B    76.41    425.00     54.20            1
  1     66 MPGE-SL   Grasp      3       3          D1A    78.57    310.00     56.35            1
  1     67 MPGE-SL   Grasp      3       3          D2A    80.15    285.00     57.94            1
  1     68 MPGE-SL   Grasp      3       3          D2B    76.95    420.00     54.73            1
  1     69 MPGE-SL   Grasp      3       3          D2B    79.13    290.00     56.91            1
  1     70 MPGE-SL   Grasp      3       3          D2A    78.67    520.00     56.46            1
  1     71 MPGE-SL   Grasp      3       3          D2B    73.15    440.00     50.94            1
  1     72 MPGE-SL   Grasp      3       3          D2B    81.65    335.00     59.44            1
  1     73 MPGE-SL   Grasp      3       3          D1A    76.84    350.00     54.63            1
  1     74 MPGE-SL   Grasp      3       3          D2A    75.72    310.00     53.51            1
  1     75 MPGE-SL   Grasp      3       3          D1B    78.60    245.00     56.39            1
  1     76 MPGE-SL   Grasp      3       3          D1B    79.66    270.00     57.45            1
  1     77 MPGE-SL   Grasp      3       3          D2A    79.13    400.00     56.92            1
  1     78 MPGE-SL   Grasp      3       3          D2B    77.40    295.00     55.18            1
  1     79 MPGE-SL   Grasp      3       3          D1A    78.40    280.00     56.19            1
  1     80 MPGE-SL   Grasp      3       3          D1A    76.96    350.00     54.74            1
  1     81 MPGE-SL   Grasp      3       3          D2A    74.86    390.00     52.64            1
  1     82 MPGE-SL   Grasp      3       3          D2B    77.37    330.00     55.16            1
  1     83 MPGE-SL   Grasp      3       3          D2A    75.39    275.00     53.18            1
  1     84 MPGE-SL   Grasp      3       3          D1B    77.80    275.00     55.58            1
  1     85 MPGE-SL   Grasp      3       3          D1B    75.06    370.00     52.85            1
  1     86 MPGE-SL   Grasp      3       3          D2B    75.53    315.00     53.32            1
  1     87 MPGE-SL   Grasp      3       3          D1A    76.98    295.00     54.76            1
  1     88 MPGE-SL   Grasp      3       3          D1B    76.85    425.00     54.64            1
  1     89 MPGE-SL   Grasp      3       3          D1B    76.79    300.00     54.57            1
  1     90 MPGE-SL   Grasp      3       3          D1A    80.15    340.00     57.94            1
  1     91 MPGE-SL   Grasp      3       3          D1A    73.73    265.00     51.52            1
  1     92 MPGE-SL   Grasp      3       3          D2A    76.74    235.00     54.53            1
  1     93 MPGE-SL   Grasp      3       3          D2A    72.77    300.00     50.56            1
  1     94 MPGE-SL   Grasp      3       3          D1B    74.47    265.00     52.26            1
  1     95 MPGE-SL   Grasp      3       3          D1B    79.10    305.00     56.88            1
  1     96 MPGE-SL   Grasp      3       3          D1A    77.21    350.00     54.99            1
  1     97 MPGE-SL   Grasp      4       3          D2B    74.54    410.00     52.51            1
  1     98 MPGE-SL   Grasp      4       3          D2A    78.86    320.00     56.83            1
  1     99 MPGE-SL   Grasp      4       3          D1A    77.10    250.00     55.08            1
  1    100 MPGE-SL   Grasp      4       3          D1B    78.00    350.00     55.97            1
  1    101 MPGE-SL   Grasp      4       3          D1A    77.14    275.00     55.11            1
  1    102 MPGE-SL   Grasp      4       3          D1A    77.88    365.00     55.85            1
  1    103 MPGE-SL   Grasp      4       3          D2B    78.90    295.00     56.87            1
  1    104 MPGE-SL   Grasp      4       3          D1B    77.14    270.00     55.11            1
  1    105 MPGE-SL   Grasp      4       3          D1A    75.70    620.00     53.68            1
  1    106 MPGE-SL   Grasp      4       3          D1B    74.17    280.00     52.14            1
  1    107 MPGE-SL   Grasp      4       3          D1B    75.59    380.00     53.56            1
  1    108 MPGE-SL   Grasp      4       3          D2A    85.03    285.00     63.00            1
  1    109 MPGE-SL   Grasp      4       3          D1B    75.87    245.00     53.84            1
  1    110 MPGE-SL   Grasp      4       3          D1A    75.86    270.00     53.83            1
  1    111 MPGE-SL   Grasp      4       3          D1A    73.92    270.00     51.89            1
  1    112 MPGE-SL   Grasp      4       3          D1B    77.29    225.00     55.26            1
  1    113 MPGE-SL   Grasp      4       3          D2A    74.05    295.00     52.02            1
  1    114 MPGE-SL   Grasp      4       3          D2B    76.83    370.00     54.80            1
  1    115 MPGE-SL   Grasp      4       3          D2A    73.81    225.00     51.78            1
  1    116 MPGE-SL   Grasp      4       3          D2B    74.95    225.00     52.92            1
  1    117 MPGE-SL   Grasp      4       3          D2B    77.77    210.00     55.74            1
  1    118 MPGE-SL   Grasp      4       3          D1B    73.72    280.00     51.69            1
  1    119 MPGE-SL   Grasp      4       3          D2B    81.69    260.00     59.67            1
  1    120 MPGE-SL   Grasp      4       3          D1A    75.97    230.00     53.94            1
  1    121 MPGE-SL   Grasp      4       3          D2B    88.91    235.00     66.88            1
  1    122 MPGE-SL   Grasp      4       3          D2A    74.05    270.00     52.03            1
  1    123 MPGE-SL   Grasp      4       3          D2B    75.08    240.00     53.05            1
  1    124 MPGE-SL   Grasp      4       3          D2A    80.31    260.00     58.28            1
  1    125 MPGE-SL   Grasp      4       3          D1A    76.68    160.00     54.66            1
  1    126 MPGE-SL   Grasp      4       3          D2A    77.23    235.00     55.21            1
  1    127 MPGE-SL   Grasp      4       3          D1B    76.26    220.00     54.23            1
  1    128 MPGE-SL   Grasp      4       4          D2A    78.37    400.00     56.34            1
  2      1 MGPE-SL   Grasp      1       0          D1A    83.42    280.00     64.31            1
  2      2 MGPE-SL   Grasp      1       0          D1B    77.24    380.00     58.13            1
  2      3 MGPE-SL   Grasp      1       0          D1A    78.74    325.00     59.63            1
  2      4 MGPE-SL   Grasp      1       0          D2A    81.19    310.00     62.08            1
  2      5 MGPE-SL   Grasp      1       0          D2B    79.53    345.00     60.42            1
  2      6 MGPE-SL   Grasp      1       0          D2B    78.01    385.00     58.90            1
  2      7 MGPE-SL   Grasp      1       0          D1A    77.68    350.00     58.57            1
  2      8 MGPE-SL   Grasp      1       0          D2A    74.77    315.00     55.66            1
  2      9 MGPE-SL   Grasp      1       0          D1A    76.46    315.00     57.35            1
  2     10 MGPE-SL   Grasp      1       0          D1A    79.47    260.00     60.36            1
  2     11 MGPE-SL   Grasp      1       0          D2A    72.10    325.00     52.99            1
  2     12 MGPE-SL   Grasp      1       0          D2A    73.15    380.00     54.04            1
  2     13 MGPE-SL   Grasp      1       0          D2B    76.76    255.00     57.65            1
  2     14 MGPE-SL   Grasp      1       0          D1B    76.91    320.00     57.80            1
  2     15 MGPE-SL   Grasp      1       1          D2A    76.74    320.00     57.63            1
  2     16 MGPE-SL   Grasp      1       1          D2B    73.29    365.00     54.18            1
  2     17 MGPE-SL   Grasp      1       1          D2B    83.17    360.00     64.06            1
  2     18 MGPE-SL   Grasp      1       1          D2B    86.63    440.00     67.52            1
  2     19 MGPE-SL   Grasp      1       1          D2A    77.53    280.00     58.42            1
  2     20 MGPE-SL   Grasp      1       1          D1A    74.56    230.00     55.45            1
  2     21 MGPE-SL   Grasp      1       1          D1A    73.38    380.00     54.27            1
  2     22 MGPE-SL   Grasp      1       1          D1B    79.05    370.00     59.94            1
  2     23 MGPE-SL   Grasp      1       1          D2B    80.65    290.00     61.54            1
  2     24 MGPE-SL   Grasp      1       1          D2A    79.79    280.00     60.68            1
  2     25 MGPE-SL   Grasp      1       1          D1B    87.38    300.00     68.27            1
  2     26 MGPE-SL   Grasp      1       1          D1B    81.38    335.00     62.27            1
  2     27 MGPE-SL   Grasp      1       1          D1B    82.88    385.00     63.77            1
  2     28 MGPE-SL   Grasp      1       1          D1B    79.60    305.00     60.49            1
  2     29 MGPE-SL   Grasp      1       1          D2B    74.11    345.00     55.00            1
  2     30 MGPE-SL   Grasp      1       1          D2A    74.34    400.00     55.23            1
  2     31 MGPE-SL   Grasp      1       1          D1B    79.65    315.00     60.54            1
  2     32 MGPE-SL   Grasp      1       1          D1A    78.61    345.00     59.50            1
  2     33 MGPE-SL   Grasp      2       1          D1B    82.00    350.00     61.87            1
  2     34 MGPE-SL   Grasp      2       1          D2A    76.46    275.00     56.34            1
  2     35 MGPE-SL   Grasp      2       1          D2B    80.71    370.00     60.59            1
