Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  1      1 MPGE-SL  ManEst      1       0          D1B       57.85       1332.37    560.00       36.27            1
  1      2 MPGE-SL  ManEst      1       1          D2A       53.82        725.74    300.00       32.24            1
  1      3 MPGE-SL  ManEst      1       1          D2B       51.81       1429.29    940.00       30.23            1
  1      4 MPGE-SL  ManEst      1       1          D1B       57.77       1318.33    545.00       36.19            1
  1      5 MPGE-SL  ManEst      1       1          D2B       55.95       1508.17   1065.00       34.37            1
  1      6 MPGE-SL  ManEst      1       1          D2A       54.02        859.67    380.00       32.45            1
  1      7 MPGE-SL  ManEst      1       2          D2A       54.77        834.68    235.00       33.20            1
  1      8 MPGE-SL  ManEst      1       2          D2B       59.96        801.70    295.00       38.39            1
  1      9 MPGE-SL  ManEst      1       2          D2A       55.06        979.52    390.00       33.49            1
  1     10 MPGE-SL  ManEst      1       2          D1A       54.73       1286.35    775.00       33.16            1
  1     11 MPGE-SL  ManEst      1       2          D2B       56.60        959.58    325.00       35.03            1
  1     12 MPGE-SL  ManEst      1       2          D1A       56.61       1192.37    710.00       35.03            1
  1     13 MPGE-SL  ManEst      1       2          D2B       56.89       1552.15    635.00       35.32            1
  1     14 MPGE-SL  ManEst      1       2          D1B       56.59       1219.91    320.00       35.02            1
  1     15 MPGE-SL  ManEst      1       2          D2A       61.25       1516.09    705.00       39.67            1
  1     16 MPGE-SL  ManEst      1       2          D1A       60.61        982.41    315.00       39.04            1
  1     17 MPGE-SL  ManEst      1       3          D2A       58.76       1044.50    545.00       37.19            1
  1     18 MPGE-SL  ManEst      1       4          D1B       58.50        915.65    295.00       36.92            1
  1     19 MPGE-SL  ManEst      1       4          D1A       56.93        860.58    500.00       35.35            1
  1     20 MPGE-SL  ManEst      1       4          D1B       52.63       1006.47    365.00       31.05            1
  1     21 MPGE-SL  ManEst      1       4          D2B       57.29       1016.32    335.00       35.71            1
  1     22 MPGE-SL  ManEst      1       4          D2B       57.50       1034.56    490.00       35.92            1
  1     23 MPGE-SL  ManEst      1       4          D2A       62.28        961.59    435.00       40.71            1
  1     24 MPGE-SL  ManEst      1       4          D1A       63.36        969.52    480.00       41.78            1
  1     25 MPGE-SL  ManEst      1       4          D2B       59.00        948.61    420.00       37.43            1
  1     26 MPGE-SL  ManEst      1       4          D1A       62.96        895.45    410.00       41.39            1
  1     27 MPGE-SL  ManEst      1       4          D2A       56.47        784.59    345.00       34.90            1
  1     28 MPGE-SL  ManEst      1       4          D1A       52.21        855.02    390.00       30.64            1
  1     29 MPGE-SL  ManEst      1       4          D1B       63.14       1298.37    730.00       41.57            1
  1     30 MPGE-SL  ManEst      1       4          D1B       56.22       1022.52    405.00       34.64            1
  1     31 MPGE-SL  ManEst      1       4          D1B       55.87        976.59    360.00       34.29            1
  1     32 MPGE-SL  ManEst      1       5          D1A       57.54        910.63    340.00       35.96            1
  1     33 MPGE-SL  ManEst      2       6          D1B       51.35       1120.38    330.00       29.54            1
  1     34 MPGE-SL  ManEst      2       6          D2B       50.88       1089.39    480.00       29.08            1
  1     35 MPGE-SL  ManEst      2       6          D2A       52.36        949.54    330.00       30.56            1
  1     36 MPGE-SL  ManEst      2       6          D1A       49.48        956.56    290.00       27.68            1
  1     37 MPGE-SL  ManEst      2       6          D1B       51.49        899.69    370.00       29.69            1
  1     38 MPGE-SL  ManEst      2       6          D2A       58.25        812.56    345.00       36.45            1
  1     39 MPGE-SL  ManEst      2       6          D2A       64.22       1027.41    410.00       42.42            1
  1     40 MPGE-SL  ManEst      2       6          D2A       54.75        864.37    315.00       32.95            1
  1     41 MPGE-SL  ManEst      2       6          D2B       63.62        987.49    370.00       41.82            1
  1     42 MPGE-SL  ManEst      2       6          D2B       62.47        967.54    330.00       40.67            1
  1     43 MPGE-SL  ManEst      2       6          D1B       55.66       1263.33    655.00       33.85            1
  1     44 MPGE-SL  ManEst      2       6          D2A       51.99        986.56    395.00       30.19            1
  1     45 MPGE-SL  ManEst      2       6          D1A       55.46       1250.24    575.00       33.66            1
  1     46 MPGE-SL  ManEst      2       6          D2A       57.37       1060.55    505.00       35.57            1
  1     47 MPGE-SL  ManEst      2       6          D1A       60.05        908.55    225.00       38.24            1
  1     48 MPGE-SL  ManEst      2       6          D2B       57.51       1042.44    410.00       35.70            1
  1     49 MPGE-SL  ManEst      2       6          D1A       61.35        809.07    280.00       39.55            1
  1     50 MPGE-SL  ManEst      2       6          D1B       57.72        970.61    425.00       35.92            1
  1     51 MPGE-SL  ManEst      2       6          D2B       52.45       1129.26    385.00       30.65            1
  1     52 MPGE-SL  ManEst      2       6          D2A       52.88       1089.72    315.00       31.08            1
  1     53 MPGE-SL  ManEst      2       7          D1A       55.77        819.57    240.00       33.97            1
  1     54 MPGE-SL  ManEst      2       7          D2B       56.64       1021.61    430.00       34.84            1
  1     55 MPGE-SL  ManEst      2       7          D2B       58.97       1165.39    550.00       37.16            1
